,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20413405.807752177,-14552347.161913289,3186538.189276959,4291688.83614422,24035268.661336828,522925.21949275304,-99010.7674670959,-1099880.4511851245,649453.1971661187,584283.227983746,679567.4955394336,692587.6233513104,716327.7281724773,730920.7710325853,743079.8150499301,722854.93300408,459435.5940741695,16590.973943094537,9582.811266359766,29157.64989575327
Omegab,-14552347.161913289,25604612.857978813,-5405728.178428695,-6744140.499730391,-41868727.79212753,-921254.5412968819,174553.82355663477,-3000008.8140455,-2527859.223247086,-1943935.946357692,-1675820.005789507,-1530336.1997943465,-1435989.3863806685,-1367107.0938798906,-1306102.083305825,-1199683.4553890738,-706789.4087507266,363.68543929655846,-1986.5931696901448,-195.4025070566296
h,3186538.189276959,-5405728.178428695,1180371.2380112535,1588287.499459057,8695270.584722647,183782.24117647597,-37234.42592487431,751860.7294258956,540658.3505004514,388609.28719010524,326292.2625578534,293606.7118515522,273318.72143422265,259773.34765215288,248185.44944002398,228523.33189044477,132497.79528735392,-214.7791488141913,526.602949967771,-130.23808303674252
ns,4291688.83614422,-6744140.499730391,1588287.499459057,2677644.6558931,10725062.335092677,194369.24718058456,-46539.24526369659,1606752.7086827108,891517.3092952204,512214.3693177395,359355.5776639548,271670.78876359033,211563.7963697881,166711.50093408418,128268.65832117393,90676.33468281165,28582.47302038424,-844.0623292008592,1127.5698879347553,-869.1594475217483
sigma8,24035268.661336828,-41868727.79212753,8695270.584722647,10725062.335092677,81721227.63017584,1928453.7397624743,-270956.5682738977,6148674.907314336,5504703.375700917,4192712.938311926,3508608.883257476,3097968.230011466,2797716.543757289,2566990.628339551,2367010.7768698595,2099757.466331524,1279957.924747207,232.91190075363562,3153.731147501332,1563.5030584777608
mnu,522925.21949275304,-921254.5412968819,183782.24117647597,194369.24718058456,1928453.7397624743,49250.210621179656,-5812.270543186308,108669.58849797031,110581.15495055492,94775.56137582331,84335.89925389858,78413.8180261923,73819.86972294276,70226.80718076612,67172.46010577961,62085.481410303844,40715.10481508637,42.31823720004531,63.99188948855387,89.60778108728991
Neff,-99010.7674670959,174553.82355663477,-37234.42592487431,-46539.24526369659,-270956.5682738977,-5812.270543186308,1219.3506808488353,-19052.997075526244,-15786.385694708995,-12149.600298367612,-10554.642527129756,-9809.830796585276,-9323.787308955087,-8972.026927107121,-8643.114948260853,-7996.251794811942,-4617.266859817041,4.118954963678916,-13.246711686583158,1.310877921335
b1,-1099880.4511851245,-3000008.8140455,751860.7294258956,1606752.7086827108,6148674.907314336,108669.58849797031,-19052.997075526244,4449982.324146851,-278533.774558005,58585.72770412623,279.8573484977294,264.04697895967865,189.93862426576894,69.77223733909807,26.888153480233584,3.5602355823349248,4.585641829847223,244.79447763906174,-633.6588744043024,160.87608736112378
b2,649453.1971661187,-2527859.223247086,540658.3505004514,891517.3092952204,5504703.375700917,110581.15495055492,-15786.385694708995,-278533.774558005,3652247.571765568,-853976.8983766352,121042.06943308644,-370.056747216194,87.05978511236202,39.75422191124103,10.6713062166605,0.7121172465268353,0.8369355876557629,-98.18386002449142,290.363068442138,-60.610347239998404
b3,584283.227983746,-1943935.946357692,388609.28719010524,512214.3693177395,4192712.938311926,94775.56137582331,-12149.600298367612,58585.72770412623,-853976.8983766352,3670954.2509460063,-1093306.8036610482,141720.90854019058,2710.0508482151336,82.93249756031615,24.609004224628922,2.709326613993303,1.0486254332153375,335.3392511788062,-444.1665689893265,321.5272962468307
