,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,21315072.73426094,-14843625.945688605,3760585.479338402,5451568.886932239,25506989.508244768,370842.7455518001,-119774.92477187919,-901346.8352613741,312036.72226186603,599254.4299918807,761319.643071312,838110.4865517716,921040.8466503433,840015.7153478805,956825.3942726041,866121.5446287359,541510.1489934586,16793.807164999213,9549.880769461783,29456.518835134044
Omegab,-14843625.945688605,22440549.771556616,-5599226.96212355,-7989633.031965874,-37850206.40277767,-564535.748412175,180697.30984148508,-2518145.314577184,-1929982.958288377,-1586356.4049097104,-1552494.0389728365,-1471870.6564456646,-1483266.7225842895,-1277146.4760914263,-1396713.740794424,-1213206.650609414,-710330.2312773459,209.338840551673,-2050.024293885101,-458.3688456988316
h,3760585.479338402,-5599226.96212355,1413088.4870971644,2037224.1411273573,9611920.235761078,145160.0599209776,-45196.72430583008,660694.251279864,491767.1368212374,400515.3063012947,390570.8889765852,369503.2342055596,372091.555780444,320681.6074136047,350113.5921994583,303210.4149410373,176381.37847507562,-96.01707303477039,542.0133146506549,58.683295659441946
ns,5451568.886932239,-7989633.031965874,2037224.1411273573,3018348.726715451,14056411.411341997,216577.37418968312,-64324.36654201944,1133800.5612243135,782676.6671100254,598501.1711076854,561092.2783332635,519399.496995943,507118.17090266064,427650.01121527026,457990.7859297305,386130.1205522086,216895.36117373634,-301.85465626029304,953.6007115471317,-101.03801177823746
sigma8,25506989.508244768,-37850206.40277767,9611920.235761078,14056411.411341997,78719834.45315926,1290280.2475951836,-300246.2188833408,5937186.176722391,5026178.565939118,3958583.654619059,3617683.249618618,3162532.1155106775,2935684.272850579,2351261.312287738,2406973.1699337247,1991611.374953383,1209396.5571174498,348.8275479217429,3130.183173784573,1734.7023326410851
mnu,370842.7455518001,-564535.748412175,145160.0599209776,216577.37418968312,1290280.2475951836,24449.41437402961,-4404.1985410268335,63735.35047635247,77870.29540065765,67670.7346622954,64354.68284272475,56980.710357619384,52813.74873349789,41941.68028173696,42438.51705653971,34847.58507578084,22372.591991291432,35.56458637469756,26.816385605546895,64.98009824357902
Neff,-119774.92477187919,180697.30984148508,-45196.72430583008,-64324.36654201944,-300246.2188833408,-4404.1985410268335,1466.223440393564,-20266.191380527842,-15105.434897820463,-12371.444221289907,-12142.376295143264,-11575.42784456398,-11737.981168723612,-10177.942119462243,-11167.08079056257,-9702.669038334303,-5643.773520931476,2.9845904067661855,-16.714830387151043,-1.7713761089426727
b1,-901346.8352613741,-2518145.314577184,660694.251279864,1133800.5612243135,5937186.176722391,63735.35047635247,-20266.191380527842,3554314.747853442,358682.92183349654,7604.542344442271,2894.871903541661,512.9985852759418,150.48331097040938,64.22750682731555,30.428512903765547,2.895982254802157,4.608759769837622,83.13635930452577,-234.6076499485225,48.021906233508254
b2,312036.72226186603,-1929982.958288377,491767.1368212374,782676.6671100254,5026178.565939118,77870.29540065765,-15105.434897820463,358682.92183349654,1867028.5355932435,350887.74767920875,9406.109651223836,2308.9318286203816,359.47482419036425,32.43631104294849,12.048754515501118,1.663180303906148,1.6594703825861117,-24.667381825078003,20.480967703331125,-25.85671406498614
b3,599254.4299918807,-1586356.4049097104,400515.3063012947,598501.1711076854,3958583.654619059,67670.7346622954,-12371.444221289907,7604.542344442271,350887.74767920875,1134111.773061134,335846.49007630424,8814.304379651394,2008.156133742897,269.8389760511937,29.458030877468012,6.086107656859858,0.758873531858545,20.623652544401754,-5.251637505302433,20.012336838132523
