,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,6088865.549455303,-1815109.339096797,419945.4270947658,521635.54150625033,2710733.263384645,10083.199156879542,-15020.540274505427,-602780.0608343777,-130504.45406143165,-53821.341492178275,-18473.745422933163,2860.1265398953437,14144.042972099944,17440.908842778525,21744.46625075327,18105.054897233116,3639.1526169806375,9153.58615215912,4709.18012824341,15865.32187549171
Omegab,-1815109.339096797,2620237.7700036494,-536771.888817703,-556717.7881042998,-1305092.6700562907,36169.426733906774,22184.68773980019,-103695.08857066827,-99966.1494627585,-73787.15910731792,-61795.41725139428,-47069.650780293305,-35742.98318138668,-19471.02384899515,-6397.934372622683,11900.641073888804,47155.776376278736,636.889462526128,-566.5781489810238,767.8028377889743
h,419945.4270947658,-536771.888817703,118541.16206248944,130542.86074538375,274331.2277406758,-8163.4489888817025,-4701.475471796776,23788.502829695357,22175.89118353184,15628.515215106152,12479.931710714396,8858.3884399886,5842.28478140389,2081.755439529741,-1517.3081964629064,-6744.789625357609,-13968.679864755295,-175.10295745693128,146.3022078551259,-214.5317692171634
ns,521635.54150625033,-556717.7881042998,130542.86074538375,158822.23484845654,192373.24989856104,-10542.043727223709,-4918.043614199811,24653.00345780707,16972.595714353225,8146.986266590789,3706.4038799042623,-327.6516579553172,-4275.557214603896,-7289.821303240067,-12928.955081894052,-18870.992116021334,-24110.959103125017,-275.46370813937085,269.06031048342703,-322.1541649072513
sigma8,2710733.263384645,-1305092.6700562907,274331.2277406758,192373.24989856104,7299663.711800279,110745.05378063851,-9093.708849998755,567054.5995954435,429450.94492563466,322999.0098593933,292507.619044227,260770.9085349106,254610.41295924206,219471.38158197587,252845.8721707147,255618.21672943397,223018.18025776552,-831.9980388293218,2154.201090296845,-463.187424499121
mnu,10083.199156879542,36169.426733906774,-8163.4489888817025,-10542.043727223709,110745.05378063851,3465.221913615162,356.7287157381805,7343.591754572541,4613.7827986070415,3444.351530253438,3341.466746381361,3345.466427072048,3753.270056823566,3744.0096904312018,5046.896945299451,6148.897525885552,6785.611719370879,0.7714213921928637,36.00052616549689,14.863086441331852
Neff,-15020.540274505427,22184.68773980019,-4701.475471796776,-4918.043614199811,-9093.708849998755,356.7287157381805,197.44886541845787,-763.945713672178,-772.2013902731034,-565.5743816542315,-463.0319218226811,-336.1353086699615,-231.63245054194317,-89.63933068387948,41.79555603924747,226.28453687345979,538.9177763792133,5.72724759674428,-4.1512734748960085,7.260902069280079
b1,-602780.0608343777,-103695.08857066827,23788.502829695357,24653.00345780707,567054.5995954435,7343.591754572541,-763.945713672178,509951.6380135305,43857.134589451656,496.5806737037646,652.83252710861,14.775830243003089,42.713906911380676,5.2715419568507205,3.6684015714862293,0.013762152096528004,1.3189479354893812,-5.844327283603819,16.550529726967426,-3.0678804829999837
b2,-130504.45406143165,-99966.1494627585,22175.89118353184,16972.595714353225,429450.94492563466,4613.7827986070415,-772.2013902731034,43857.134589451656,236044.93079677352,33334.61471974743,68.95479630066475,710.2786201111862,-19.49856756161519,20.899982782614043,5.792271263084618,0.11492604324928764,0.8365832853805817,-61.37738114260106,142.6835919240896,-45.841962754303204
b3,-53821.341492178275,-73787.15910731792,15628.515215106152,8146.986266590789,322999.0098593933,3444.351530253438,-565.5743816542315,496.5806737037646,33334.61471974743,156453.081316626,34084.368557685426,-136.63712015452592,565.5207732553336,15.964608234223515,4.020562072958796,5.231114901314881,0.051415935561756124,-67.91837496557272,123.56640812567477,-56.26239166253974
b4,-18473.745422933163,-61795.41725139428,12479.931710714396,3706.4038799042623,292507.619044227,3341.466746381361,-463.0319218226811,652.83252710861,68.95479630066475,34084.368557685426,126404.05659203228,30627.89355193472,228.9864258310024,404.7226519417863,53.476429668731,6.604706589807244,3.8280285580336977,-112.37663908349509,143.5146971066854,-107.90829408592217
b5,2860.1265398953437,-47069.650780293305,8858.3884399886,-327.6516579553172,260770.9085349106,3345.466427072048,-336.1353086699615,14.775830243003089,710.2786201111862,-136.63712015452592,30627.89355193472,102452.42527762518,27718.980682684138,462.1875003811929,351.49064286318026,58.33796295138767,7.652198261967909,-77.74857320439806,99.35615667613817,-78.13895964948233
b6,14144.042972099944,-35742.98318138668,5842.28478140389,-4275.557214603896,254610.41295924206,3753.270056823566,-231.63245054194317,42.713906911380676,-19.49856756161519,565.5207732553336,228.9864258310024,27718.980682684138,96064.46601622361,24484.71785029243,1001.449423666959,277.6522959824912,49.246776387302276,-40.41206502046575,39.72913419248704,-50.24442201187059
b7,17440.908842778525,-19471.02384899515,2081.755439529741,-7289.821303240067,219471.38158197587,3744.0096904312018,-89.63933068387948,5.2715419568507205,20.899982782614043,15.964608234223515,404.7226519417863,462.1875003811929,24484.71785029243,76370.42237007871,20483.867469769608,714.4386794456872,116.55209488112204,-29.093925917094904,16.104392229709852,-39.725470358357356
