,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,5964300.040452171,-1448615.7293065167,363111.22076139326,435872.09167557873,2341758.4051577565,-542889.0938870994,-96688.47776627248,-656570.5850434643,-163319.6476800796,-80415.3817216562,-43584.165060195606,-19958.893207138735,-8125.981570702759,-1229.8762593174233,1215.416590263063,-556.2116285125649,-9687.468629357616,9624.747142111042,4849.6191842336975,16645.32705987069
Omegab,-1448615.7293065167,2439845.4332504505,-469631.21916294616,-434431.874705733,-484152.70545084175,48707.646992074864,15737.041573598528,-50544.306428266995,-49911.379226169985,-32731.788607806506,-22781.619107136896,-10954.948868015992,-258.0570528141461,11352.841259148787,29493.21770623603,43661.943357522214,74751.00051608986,621.644295081417,-427.4593634587414,796.2926778748413
h,363111.22076139326,-469631.21916294616,102280.812769473,111821.00883779657,84148.64854589652,-27871.347429747453,-7177.376679766848,10426.543517325379,7867.125848646241,3612.592143589557,1199.7134775103261,-1288.7782591327905,-3843.6205391370913,-6064.617534610576,-10311.617133813808,-14490.51439708138,-19610.743752913433,-200.88926279957744,163.09604833881912,-247.3660531553099
ns,435872.09167557873,-434431.874705733,111821.00883779657,215684.161393882,-494725.66007096344,-164587.8785587169,-36156.16245667869,-19655.215776333636,-31537.09344160374,-33868.73420554561,-36369.44731997714,-36646.30096648649,-39505.31406125835,-36873.529232001965,-45542.69676298708,-49357.82454642316,-47260.6864431455,-387.1068724455072,345.16417958894175,-463.37191626263615
sigma8,2341758.4051577565,-484152.70545084175,84148.64854589652,-494725.66007096344,7488105.710540452,1056686.5660452587,213187.2012499633,581576.9667538432,442617.4684551719,330606.5475306387,296864.0530013174,262414.40205840784,254458.16243793754,218085.838429322,250339.7271962208,252340.99493700368,220643.58039174322,-858.0998572389187,2260.5555752488176,-462.70117990555946
w0,-542889.0938870994,48707.646992074864,-27871.347429747453,-164587.8785587169,1056686.5660452587,330361.99190037436,67671.53481097436,171832.47891768866,114135.21537581108,87787.22700722494,77195.47305497786,66378.98981903416,62809.7829817363,52531.228113440746,59332.36678324601,59699.56835242031,52288.29004216467,176.64309903934455,153.1894835269462,333.3911589000791
wa,-96688.47776627248,15737.041573598528,-7177.376679766848,-36156.16245667869,213187.2012499633,67671.53481097436,14562.596477867231,22310.622944623265,18995.804897254035,16605.695689172455,15759.164911782516,14376.268266324461,14250.694563417042,12367.388066349777,14453.581453410261,15066.723306010475,13774.196566353237,122.91818167282455,60.91094973133551,213.1381949965535
b1,-656570.5850434643,-50544.306428266995,10426.543517325379,-19655.215776333636,581576.9667538432,171832.47891768866,22310.622944623265,525204.2374242833,44701.16595696178,488.29889979772474,667.0357248959982,13.7545716155476,43.678823641100756,5.366430892557267,3.658767071939919,-0.001889214722396313,1.3912726111193923,-8.239801260979757,23.47105404204816,-4.293804147157287
b2,-163319.6476800796,-49911.379226169985,7867.125848646241,-31537.09344160374,442617.4684551719,114135.21537581108,18995.804897254035,44701.16595696178,238671.14704240966,33518.85175686904,49.81980540646432,722.6312074966262,-20.786452767274433,21.474611829560484,5.932678690073106,0.10513477472426268,0.889976141063523,-67.68229735855604,158.17545514875601,-50.4137020472441
b3,-80415.3817216562,-32731.788607806506,3612.592143589557,-33868.73420554561,330606.5475306387,87787.22700722494,16605.695689172455,488.29889979772474,33518.85175686904,157939.99274994657,34259.31352678562,-158.40112264181292,574.5863887505521,15.330079559086574,4.107241096875813,5.374824501452559,0.042263967220567,-77.31574441796451,139.84001992353078,-64.14703653185798
