,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,5965088.535841915,-1567287.1142441502,362869.69313673646,440252.2513905627,2339066.620435504,-545510.2484801547,-94476.45599528382,-657099.6696796337,-163560.18831598424,-80588.57712851174,-43715.51021751195,-20071.10312438267,-8232.684052333632,-1319.4567266367148,1118.2250748814477,-654.2619872817686,-9771.34071940125,9624.582093788082,4849.2310208183335,16644.927214929638
Omegab,-1567287.1142441502,2504769.9041661387,-479326.0465675167,-410836.2308547087,-865766.0326839548,-4342.4908298486935,4014.933076177837,-80120.5787882193,-72532.04384971727,-49643.8322420592,-37956.78552339852,-24371.19623651474,-13248.415314275437,211.68322814887142,16695.762976728758,30851.770151881603,63515.36273269678,666.8502904945306,-541.2742691779358,822.6749351006572
h,362869.69313673646,-479326.0465675167,105374.35763861539,115431.02261084541,62486.26554483165,-31765.40125788167,-7908.0413042110395,8736.918621920646,6525.131865379685,2615.5345663419157,301.412950416842,-2097.5531298777532,-4655.158723100194,-6792.601561850852,-11204.65524746594,-15480.812196977336,-20621.468898876214,-202.21629755669215,159.69206735461637,-250.68874833027826
ns,440252.2513905627,-410836.2308547087,115431.02261084541,213993.2906546934,-481585.71554055024,-162327.69108932704,-36266.27474132321,-18645.474269400853,-30755.193999816358,-33287.469326744824,-35844.45340048994,-36183.04561542439,-39057.199201903764,-36491.08925591943,-45104.66320970784,-48917.68216563307,-46878.120398674604,-388.6654541681622,349.1137193879596,-464.27202805983285
sigma8,2339066.620435504,-865766.0326839548,62486.26554483165,-481585.71554055024,7488135.746494872,1050315.5602975988,220687.7964275725,581569.2024213091,442624.2741134004,330611.37667393003,296869.70752355404,262417.96253578144,254457.26007316276,218085.3186636638,250335.63142882267,252333.85556026656,220634.33056392914,-858.0939848606536,2260.481604870824,-462.7216486216263
w0,-545510.2484801547,-4342.4908298486935,-31765.40125788167,-162327.69108932704,1050315.5602975988,328576.5968800114,68544.24646321032,171352.979236683,113758.95201874037,87513.01617929999,76943.69870226602,66153.03887832421,62591.79458733359,52344.65187711732,59118.380552921735,59482.000278651205,52098.54245054094,177.41422335891295,151.25981746885924,333.84500372719623
wa,-94476.45599528382,4014.933076177837,-7908.0413042110395,-36266.27474132321,220687.7964275725,68544.24646321032,14997.411900966297,22898.06809856298,19440.907095438826,16937.53552672303,16058.559541742043,14639.103933766837,14504.268304547517,12584.91700575712,14703.19511369949,15319.143863802354,13994.67840029003,121.9877739108032,63.15129706136145,212.55598641473102
b1,-657099.6696796337,-80120.5787882193,8736.918621920646,-18645.474269400853,581569.2024213091,171352.979236683,22898.06809856298,525232.7906385777,44701.84021511662,488.211732773474,667.0862192643746,13.735584367576347,43.68157490837854,5.365509219690754,3.6577507068281188,-0.001710797757106839,1.3909480982805236,-8.23509694854329,23.458535014464267,-4.290898156048652
b2,-163560.18831598424,-72532.04384971727,6525.131865379685,-30755.193999816358,442624.2741134004,113758.95201874037,19440.907095438826,44701.84021511662,238668.5622725322,33518.456004703956,49.822876616632044,722.6344955369292,-20.783984540036123,21.470806816612438,5.9331775051783335,0.10466476936986355,0.8898505113822965,-67.67890134078034,158.16708821127995,-50.41116743119868
b3,-80588.57712851174,-49643.8322420592,2615.5345663419157,-33287.469326744824,330611.37667393003,87513.01617929999,16937.53552672303,488.211732773474,33518.456004703956,157936.90966103773,34258.72708782031,-158.3116733468111,574.5385143191996,15.343794244184817,4.100673593261848,5.3741015777194265,0.04220022438323838,-77.30674492839611,139.823884479229,-64.13966068559947
