,Omegab,mnu,sigma8,ns,Neff,Omegam,h,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegab,5537091.166346742,118396.40323934627,-107145.54402602394,-1138891.9365714146,46787.52886083879,-2489360.805742914,1647599.358414677,-321572.63141528895,-254299.36275309714,-133054.40229547868,35081.35676355183,-100.97627116775985,-89.05825715791147,-65.69455668184645,-49.030363592984
mnu,118396.40323934627,3706.7669151071996,-7994.1414469542,-32156.27274840059,1021.9700851199157,-75583.0062038206,98609.2240797634,-13906.788564945917,-11177.456560897652,-6699.136326456819,-1561.9618647911138,-3.345914972774786,-2.8473743774887965,-2.040075095722341,-1.4869417453688443
sigma8,-107145.54402602394,-7994.1414469542,311177.5575782277,1259.1618619105793,-923.0215529316882,441035.5381519051,-2052826.17811276,242150.64448735426,229654.43517622256,189600.1106355112,177541.08400967767,30.368139315987037,26.555269582394512,19.922043642364457,16.280035395677928
ns,-1138891.9365714146,-32156.27274840059,1259.1618619105793,331723.41758092237,-10175.203951125313,583365.084602176,-423471.9242425725,59854.927766757726,40146.020765151945,9134.84401712571,-38567.330687405585,28.025542770449494,24.549237783527353,17.86463103145917,12.898454911497248
Neff,46787.52886083879,1021.9700851199157,-923.0215529316882,-10175.203951125313,428.72434522630465,-21085.12770425456,13634.00966625411,-2806.0635574510507,-2191.556316603901,-1113.1604184623639,381.7148616950144,-0.8977484341028887,-0.7883990467947175,-0.5790154913835216,-0.4293805098802561
Omegam,-2489360.805742914,-75583.0062038206,441035.5381519051,583365.084602176,-21085.12770425456,3353251.6729828413,-5739089.855517883,898752.2042945749,898530.6873015697,757202.3454014693,676184.67964813,131.09167356186612,122.9813183308651,97.9922250742919,83.54363621231725
h,1647599.358414677,98609.2240797634,-2052826.17811276,-423471.9242425725,13634.00966625411,-5739089.855517883,17870384.476787694,-2387162.154837299,-2292503.2824440873,-1896992.0476218192,-1737711.7395935273,-318.2496310212292,-283.7356750477355,-215.64250885367085,-175.86955328404264
lnbgs8_1,-321572.63141528895,-13906.788564945917,242150.64448735426,59854.927766757726,-2806.0635574510507,898752.2042945749,-2387162.154837299,1264586.8404307791,0.0,0.0,0.0,145.515747854248,0.0,0.0,0.0
lnbgs8_2,-254299.36275309714,-11177.456560897652,229654.43517622256,40146.020765151945,-2191.556316603901,898530.6873015697,-2292503.2824440873,0.0,1248179.9929663627,0.0,0.0,0.0,134.58106530940665,0.0,0.0
lnbgs8_3,-133054.40229547868,-6699.136326456819,189600.1106355112,9134.84401712571,-1113.1604184623639,757202.3454014693,-1896992.0476218192,0.0,0.0,1064045.9394571278,0.0,0.0,0.0,106.34716750935524,0.0
lnbgs8_4,35081.35676355183,-1561.9618647911138,177541.08400967767,-38567.330687405585,381.7148616950144,676184.67964813,-1737711.7395935273,0.0,0.0,0.0,1012858.2525412589,0.0,0.0,0.0,91.03460958223235
Ps_1,-100.97627116775985,-3.345914972774786,30.368139315987037,28.025542770449494,-0.8977484341028887,131.09167356186612,-318.2496310212292,145.515747854248,0.0,0.0,0.0,0.024939557931015113,0.0,0.0,0.0
Ps_2,-89.05825715791147,-2.8473743774887965,26.555269582394512,24.549237783527353,-0.7883990467947175,122.9813183308651,-283.7356750477355,0.0,134.58106530940665,0.0,0.0,0.0,0.02174582315872364,0.0,0.0
Ps_3,-65.69455668184645,-2.040075095722341,19.922043642364457,17.86463103145917,-0.5790154913835216,97.9922250742919,-215.64250885367085,0.0,0.0,106.34716750935524,0.0,0.0,0.0,0.016172446626850946,0.0
Ps_4,-49.030363592984,-1.4869417453688443,16.280035395677928,12.898454911497248,-0.4293805098802561,83.54363621231725,-175.86955328404264,0.0,0.0,0.0,91.03460958223235,0.0,0.0,0.0,0.012941902532809057
