,Omegam,Omegab,h,ns,sigma8,w0,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3294802.9364507273,-2464596.277749485,-5776555.943831433,580794.1149786266,437873.3775995973,318776.21538727183,79956.90079592557,894525.0982338022,895161.2885262684,756094.8168246873,678226.6739503803,127.40119806772141,119.73701035294349,95.62648293712782,81.88401481950523
Omegab,-2464596.277749485,5413781.8924289625,1836859.143800743,-1127227.6246751887,-128639.17433419237,11772.043624981648,6821.654802070316,-337330.9363350122,-271933.09372513904,-149732.44472541526,18428.901931952103,-99.96751026720835,-88.39800585164674,-65.4360919040671,-49.098542687225745
h,-5776555.943831433,1836859.143800743,18328015.490914583,-449718.84492117516,-2079006.8086286015,-890115.5672193021,-172797.21485399024,-2422983.648995073,-2328153.000110944,-1929107.4846821534,-1771672.9053255413,-316.6249940768942,-282.6100420649758,-215.24163560592544,-176.16946299000438
ns,580794.1149786266,-1127227.6246751887,-449718.84492117516,332851.7078480234,2823.9882436688313,-36357.9080112826,-9126.292891284425,61940.02124899262,42485.17334580381,11204.152857248322,-36750.85087838009,27.697477722410422,24.33462302892373,17.75696883834509,12.904702505234848
sigma8,437873.3775995973,-128639.17433419237,-2079006.8086286015,2823.9882436688313,310987.85781952617,94297.82280851623,13501.846357193905,242676.56320751688,230270.62960328898,190353.140426063,178672.11246304956,29.8240293453567,26.115294813481725,19.623698071632756,16.087499697830825
w0,318776.21538727183,11772.043624981648,-890115.5672193021,-36357.9080112826,94297.82280851623,76946.2192298208,18109.079532480304,144862.4441651284,147976.0502832714,129301.89343482765,127615.57098147458,12.54639733539911,12.51757587345353,10.375858058853936,9.311623374112052
wa,79956.90079592557,6821.654802070316,-172797.21485399024,-9126.292891284425,13501.846357193905,18109.079532480304,4733.615308761029,29899.128231872473,33242.34690382832,30790.513097391682,31898.08548206385,2.3594875001112587,2.617425372487517,2.341281247578373,2.240996851655623
lnbgs8_1,894525.0982338022,-337330.9363350122,-2422983.648995073,61940.02124899262,242676.56320751688,144862.4441651284,29899.128231872473,1272039.6822046274,0.0,0.0,0.0,143.36194919750056,0.0,0.0,0.0
lnbgs8_2,895161.2885262684,-271933.09372513904,-2328153.000110944,42485.17334580381,230270.62960328898,147976.0502832714,33242.34690382832,0.0,1256933.1398574773,0.0,0.0,0.0,132.8287818547635,0.0,0.0
lnbgs8_3,756094.8168246873,-149732.44472541526,-1929107.4846821534,11204.152857248322,190353.140426063,129301.89343482765,30790.513097391682,0.0,0.0,1073434.552075279,0.0,0.0,0.0,105.22504217040725,0.0
lnbgs8_4,678226.6739503803,18428.901931952103,-1771672.9053255413,-36750.85087838009,178672.11246304956,127615.57098147458,31898.08548206385,0.0,0.0,0.0,1025149.2784258062,0.0,0.0,0.0,90.43861224221665
Ps_1,127.40119806772141,-99.96751026720835,-316.6249940768942,27.697477722410422,29.8240293453567,12.54639733539911,2.3594875001112587,143.36194919750056,0.0,0.0,0.0,0.024010695918818305,0.0,0.0,0.0
Ps_2,119.73701035294349,-88.39800585164674,-282.6100420649758,24.33462302892373,26.115294813481725,12.51757587345353,2.617425372487517,0.0,132.8287818547635,0.0,0.0,0.0,0.02097924453268574,0.0,0.0
Ps_3,95.62648293712782,-65.4360919040671,-215.24163560592544,17.75696883834509,19.623698071632756,10.375858058853936,2.341281247578373,0.0,0.0,105.22504217040725,0.0,0.0,0.0,0.015646175388255894,0.0
Ps_4,81.88401481950523,-49.098542687225745,-176.16946299000438,12.904702505234848,16.087499697830825,9.311623374112052,2.240996851655623,0.0,0.0,0.0,90.43861224221665,0.0,0.0,0.0,0.01257523074854926
