,sigma8,mnu,Neff,ns,Omegam,Omegab,h,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
sigma8,269807.44301936746,-3858.421355579332,340.3003381576561,-41124.0529244061,329384.3832868493,29741.831039925557,-1663973.269780078,201143.3298261546,193840.32586570407,163597.44072283365,158486.89538538642,18.10162247282115,16.362728863037717,12.829765645444525,11.218920223622145
mnu,-3858.421355579332,3063.929838142027,822.3323705562702,-25136.41673806463,-51892.88740361136,96560.89876244494,47930.52016781081,-6539.58541900051,-4716.992661555444,-1989.3585241670926,1874.8986870931767,-1.5141492650080814,-1.3063267256785946,-0.9519462498685178,-0.7012673765567957
Neff,340.3003381576561,822.3323705562702,363.12509292160837,-7965.499222869694,-13411.011658062824,39786.19094567506,-2119.422061145448,-492.4513512242479,-110.58592012580766,440.5952007653832,1548.6345965404441,-0.3386327547914717,-0.3051175166545961,-0.22942617883112051,-0.17020239711367585
ns,-41124.0529244061,-25136.41673806463,-7965.499222869694,253642.4990759563,312644.9602699098,-897953.4552479433,122970.14935404857,-19679.931592655936,-32172.726007547237,-45383.11943569459,-79884.257913251,8.67258216678522,7.598853848095818,5.447275458311409,3.5625307971621627
Omegam,329384.3832868493,-51892.88740361136,-13411.011658062824,312644.9602699098,2332819.7469968656,-1658875.5681956578,-4022718.4785896344,621433.6563039342,639335.376430008,556814.6969042721,520088.0484212771,68.6101510285049,66.80041123920348,55.65862822015737,50.61535040700256
Omegab,29741.831039925557,96560.89876244494,39786.19094567506,-897953.4552479433,-1658875.5681956578,4781752.722301561,-64280.44407813903,-70912.18655145439,-29625.716365902743,33956.546474737755,159635.96734880866,-40.01426245384451,-36.41199222151981,-27.675566580976465,-20.931383439664057
h,-1663973.269780078,47930.52016781081,-2119.422061145448,122970.14935404857,-4022718.4785896344,-64280.44407813903,13574032.701922193,-1838709.7686241665,-1802112.2672395336,-1533793.1737197107,-1468262.0025184806,-172.99365808576653,-159.64002104412674,-127.07619485625227,-111.33800498117297
lnbgs8_1,201143.3298261546,-6539.58541900051,-492.4513512242479,-19679.931592655936,621433.6563039342,-70912.18655145439,-1838709.7686241665,1008174.8153601012,0.0,0.0,0.0,85.86657410393848,0.0,0.0,0.0
lnbgs8_2,193840.32586570407,-4716.992661555444,-110.58592012580766,-32172.726007547237,639335.376430008,-29625.716365902743,-1802112.2672395336,0.0,1013601.1517173529,0.0,0.0,0.0,81.83160043484125,0.0,0.0
lnbgs8_3,163597.44072283365,-1989.3585241670926,440.5952007653832,-45383.11943569459,556814.6969042721,33956.546474737755,-1533793.1737197107,0.0,0.0,886160.1025107357,0.0,0.0,0.0,67.34378350934645,0.0
lnbgs8_4,158486.89538538642,1874.8986870931767,1548.6345965404441,-79884.257913251,520088.0484212771,159635.96734880866,-1468262.0025184806,0.0,0.0,0.0,877250.9738336705,0.0,0.0,0.0,61.42628922106256
Ps_1,18.10162247282115,-1.5141492650080814,-0.3386327547914717,8.67258216678522,68.6101510285049,-40.01426245384451,-172.99365808576653,85.86657410393848,0.0,0.0,0.0,0.009790976274737621,0.0,0.0,0.0
Ps_2,16.362728863037717,-1.3063267256785946,-0.3051175166545961,7.598853848095818,66.80041123920348,-36.41199222151981,-159.64002104412674,0.0,81.83160043484125,0.0,0.0,0.0,0.008907052849192711,0.0,0.0
Ps_3,12.829765645444525,-0.9519462498685178,-0.22942617883112051,5.447275458311409,55.65862822015737,-27.675566580976465,-127.07619485625227,0.0,0.0,67.34378350934645,0.0,0.0,0.0,0.006997175003602928,0.0
Ps_4,11.218920223622145,-0.7012673765567957,-0.17020239711367585,3.5625307971621627,50.61535040700256,-20.931383439664057,-111.33800498117297,0.0,0.0,0.0,61.42628922106256,0.0,0.0,0.0,0.006077965207565341
