,Omegam,Omegab,h,ns,sigma8,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2333798.121758879,-1660786.550853112,-4022167.307256432,312967.1355590985,329319.6653356643,-52952.63920385689,-13436.735144351294,621366.8481895962,639291.189902004,556842.8046333748,520099.30003592593,68.61116099417363,66.79948575874344,55.66165039609241,50.618774146126725
Omegab,-1660786.550853112,4790634.456555278,-69037.13828466681,-897926.1450617353,29814.820419837262,100853.42721695747,39862.10547370918,-71110.62984502653,-28760.488649620936,33806.47666517255,159531.86093376635,-40.06951120465584,-36.33305451706558,-27.71249890688385,-20.93524002087187
h,-4022167.307256432,-69037.13828466681,13580059.512869589,123265.81243947515,-1664660.684202197,45627.7736974418,-2168.006887283053,-1839222.4979908797,-1802457.1690733002,-1534213.6797832425,-1468871.6990125445,-172.98902246855914,-159.6251624875341,-127.0733075536321,-111.33734870781193
ns,312967.1355590985,-897926.1450617353,123265.81243947515,253639.49629409277,-41117.06129908642,-26585.12570112574,-7967.521700877747,-19639.17463439211,-32150.516139285195,-45373.264902575655,-79938.8150018895,8.674892614840132,7.598324103225644,5.448844693740687,3.5595903185087145
sigma8,329319.6653356643,29814.820419837262,-1664660.684202197,-41117.06129908642,269927.7053241079,-3345.404920546512,342.78398683678444,201140.13268382943,193923.56492824096,163676.8346850875,158545.8608047616,18.102158024252248,16.362882567293475,12.8333306400008,11.218396820290954
mnu,-52952.63920385689,100853.42721695747,45627.7736974418,-26585.12570112574,-3345.404920546512,3291.4175680843227,861.0049984726263,-6253.769665776531,-4332.702716331101,-1486.9114062945246,2574.3560837867935,-1.562509534823299,-1.344186008166723,-0.9763629443936415,-0.7103943189455818
Neff,-13436.735144351294,39862.10547370918,-2168.006887283053,-7967.521700877747,342.78398683678444,861.0049984726263,363.9242209852273,-474.3468676019911,-112.2819738179046,434.57775675040807,1538.4375855519334,-0.3380262048755605,-0.3049977499457983,-0.22985583580652574,-0.17079802611968065
lnbgs8_1,621366.8481895962,-71110.62984502653,-1839222.4979908797,-19639.17463439211,201140.13268382943,-6253.769665776531,-474.3468676019911,1008321.7782006597,0.0,0.0,0.0,85.86403551694335,0.0,0.0,0.0
lnbgs8_2,639291.189902004,-28760.488649620936,-1802457.1690733002,-32150.516139285195,193923.56492824096,-4332.702716331101,-112.2819738179046,0.0,1013757.38075593,0.0,0.0,0.0,81.83043411107086,0.0,0.0
lnbgs8_3,556842.8046333748,33806.47666517255,-1534213.6797832425,-45373.264902575655,163676.8346850875,-1486.9114062945246,434.57775675040807,0.0,0.0,886310.6976440003,0.0,0.0,0.0,67.34421543381896,0.0
lnbgs8_4,520099.30003592593,159531.86093376635,-1468871.6990125445,-79938.8150018895,158545.8608047616,2574.3560837867935,1538.4375855519334,0.0,0.0,0.0,877428.5523391578,0.0,0.0,0.0,61.42519872553716
Ps_1,68.61116099417363,-40.06951120465584,-172.98902246855914,8.674892614840132,18.102158024252248,-1.562509534823299,-0.3380262048755605,85.86403551694335,0.0,0.0,0.0,0.009789158627060618,0.0,0.0,0.0
Ps_2,66.79948575874344,-36.33305451706558,-159.6251624875341,7.598324103225644,16.362882567293475,-1.344186008166723,-0.3049977499457983,0.0,81.83043411107086,0.0,0.0,0.0,0.008905584551720816,0.0,0.0
Ps_3,55.66165039609241,-27.71249890688385,-127.0733075536321,5.448844693740687,12.8333306400008,-0.9763629443936415,-0.22985583580652574,0.0,0.0,67.34421543381896,0.0,0.0,0.0,0.006996211956312207,0.0
Ps_4,50.618774146126725,-20.93524002087187,-111.33734870781193,3.5595903185087145,11.218396820290954,-0.7103943189455818,-0.17079802611968065,0.0,0.0,0.0,61.42519872553716,0.0,0.0,0.0,0.006076648445256941
