,Omegam,Omegab,h,ns,sigma8,w0,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2286111.4571519988,-1625348.6948661483,-4044416.394906293,309271.1346312975,326234.0413044006,242331.26113755815,60532.971178664615,617145.3036728082,635376.828364441,554855.2860699944,520722.49248194805,66.45180111823242,64.8017404023643,54.15730816322405,49.468236103537635
Omegab,-1625348.6948661483,4621192.0517272875,63579.23725136154,-880127.8784373645,12516.036595631806,74013.27431044224,20066.61013196366,-80799.31737884093,-41398.60356660304,22416.752670993446,147487.72874761192,-39.18047873628349,-35.82087579083637,-27.317173973395708,-20.792972786512408
h,-4044416.394906293,63579.23725136154,13886925.924124427,110967.47193445903,-1680512.4095436642,-771987.1923203408,-153411.9112122374,-1861605.421889362,-1825677.1755575526,-1556263.1722975732,-1494191.8932817173,-171.56145545651518,-158.5395459395489,-126.51510004576265,-111.31134783055992
ns,309271.1346312975,-880127.8784373645,110967.47193445903,253380.04770451022,-40277.55884832215,-56074.3545713029,-13446.750909489703,-18822.835891212904,-31139.835294156946,-44392.711586305835,-79102.77442732226,8.536119350948976,7.5061054341688624,5.410308068606176,3.5735945241147165
sigma8,326234.0413044006,12516.036595631806,-1680512.4095436642,-40277.55884832215,269022.78376970225,87599.49307728934,13299.039016646746,201080.49385404,193854.30899696407,163879.56641298023,159197.80179917667,17.699909949629554,16.017172222026744,12.591475182413761,11.050477728624562
w0,242331.26113755815,74013.27431044224,-771987.1923203408,-56074.3545713029,87599.49307728934,70565.33797790788,16426.020774471657,123905.57577435032,128226.06793563158,114249.21915468383,116118.29212754586,8.545149039541004,8.59494557078249,7.3166869254115365,6.883063757916932
wa,60532.971178664615,20066.61013196366,-153411.9112122374,-13446.750909489703,13299.039016646746,16426.020774471657,4209.330676516618,25430.145853938422,28668.78320566459,27080.005289039684,28922.420422511714,1.659607616428695,1.8408704725371976,1.6774534190124832,1.6735637472148663
lnbgs8_1,617145.3036728082,-80799.31737884093,-1861605.421889362,-18822.835891212904,201080.49385404,123905.57577435032,25430.145853938422,1011727.6239387828,0.0,0.0,0.0,84.28431531171476,0.0,0.0,0.0
lnbgs8_2,635376.828364441,-41398.60356660304,-1825677.1755575526,-31139.835294156946,193854.30899696407,128226.06793563158,28668.78320566459,0.0,1018276.1007759746,0.0,0.0,0.0,80.46818642428069,0.0,0.0
lnbgs8_3,554855.2860699944,22416.752670993446,-1556263.1722975732,-44392.711586305835,163879.56641298023,114249.21915468383,27080.005289039684,0.0,0.0,891946.5671354237,0.0,0.0,0.0,66.39818467400994,0.0
lnbgs8_4,520722.49248194805,147487.72874761192,-1494191.8932817173,-79102.77442732226,159197.80179917667,116118.29212754586,28922.420422511714,0.0,0.0,0.0,886204.0951236155,0.0,0.0,0.0,60.83994304885489
Ps_1,66.45180111823242,-39.18047873628349,-171.56145545651518,8.536119350948976,17.699909949629554,8.545149039541004,1.659607616428695,84.28431531171476,0.0,0.0,0.0,0.00938368468880951,0.0,0.0,0.0
Ps_2,64.8017404023643,-35.82087579083637,-158.5395459395489,7.5061054341688624,16.017172222026744,8.59494557078249,1.8408704725371976,0.0,80.46818642428069,0.0,0.0,0.0,0.008555543857743613,0.0,0.0
Ps_3,54.15730816322405,-27.317173973395708,-126.51510004576265,5.410308068606176,12.591475182413761,7.3166869254115365,1.6774534190124832,0.0,0.0,66.39818467400994,0.0,0.0,0.0,0.006742055694449485,0.0
Ps_4,49.468236103537635,-20.792972786512408,-111.31134783055992,3.5735945241147165,11.050477728624562,6.883063757916932,1.6735637472148663,0.0,0.0,0.0,60.83994304885489,0.0,0.0,0.0,0.005886022560926987
