,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,20522165.869358577,-13296736.586626526,3279344.397583101,4326528.769374153,24258157.249138184,509814.7611614317,-113541.02307028005,-821046.1025592247,398887.97067659505,598855.6828267084,699251.6152102281,733288.3322259879,780025.6038907155,697139.5574296233,784493.3958126275,705003.1687350576,440049.6713632123,16732.969591797384,9697.363507217611,29417.952895762854
Omegab,-13296736.586626526,21109786.562832937,-5013451.2014702,-6139729.659429078,-37179473.47120091,-782530.1179756052,183555.19152839092,-2624019.2345197448,-2111041.389519809,-1666396.5682461017,-1559262.5024972549,-1414968.2149848493,-1373770.237007215,-1149311.2903056315,-1225525.9524506,-1042320.9149482355,-599120.8843055972,315.50250223202346,-1830.6235532814278,-210.43543022382082
h,3279344.397583101,-5013451.2014702,1228620.4415915012,1618463.5242669433,8910175.928882964,182150.89076499804,-43725.14131589657,749751.7643860448,532655.0360840436,396253.4293415932,357359.00432867376,316630.8390517112,303011.492165161,251740.6640359621,267145.51959267753,226080.31369240675,128166.54879245919,-201.37227195964977,541.494481406415,-103.80497193902258
ns,4326528.769374153,-6139729.659429078,1618463.5242669433,2676045.3399483953,10730176.61225725,186587.83566944694,-52907.30583992792,1531307.0598913229,859319.1878886553,527846.9689726727,396534.573712012,292459.70404816605,232451.57509892888,160564.87133209,138949.66358480498,88501.74231944144,25699.077787352435,-831.8419947808532,1126.5404019728526,-850.6318275022538
sigma8,24258157.249138184,-37179473.47120091,8910175.928882964,10730176.61225725,81559015.81517988,1863681.3745970272,-324874.881529869,6166090.601036499,5195860.834878186,4060897.302041723,3695970.456490226,3227501.2348712664,3002002.108716961,2407614.533560072,2465375.3260637387,2038632.9128105924,1230863.9026132408,334.7874147705892,3192.014791444763,1736.302911241533
mnu,509814.7611614317,-782530.1179756052,182150.89076499804,186587.83566944694,1863681.3745970272,46324.4719410157,-6889.363773151261,106707.00995480665,101310.82168638802,87335.32394526135,85355.1173578199,78884.90359818947,76728.99706651668,63870.37923978192,67883.86306245459,58709.90700340296,38066.09860688365,44.937854943840264,62.767274698891846,93.20144852801837
Neff,-113541.02307028005,183555.19152839092,-43725.14131589657,-52907.30583992792,-324874.881529869,-6889.363773151261,1611.0269648042229,-22578.503694105348,-18326.976064605395,-14599.732834886685,-13739.864799025649,-12517.619642905755,-12196.104608542373,-10249.098054934875,-10954.978106106788,-9324.916934819086,-5364.430718827309,-2.4683854766853104,-15.283134269560907,-9.613352542782247
b1,-821046.1025592247,-2624019.2345197448,749751.7643860448,1531307.0598913229,6166090.601036499,106707.00995480665,-22578.503694105348,3643804.1565152896,364623.8947292819,7532.9815452535,3012.979834136687,532.8471080980428,150.15491815404718,66.29877087502639,31.12554450196275,2.9738904111756934,4.6959900376782935,87.22131614791941,-246.6097154546107,50.180592209106265
b2,398887.97067659505,-2111041.389519809,532655.0360840436,859319.1878886553,5195860.834878186,101310.82168638802,-18326.976064605395,364623.8947292819,1900341.1312933518,354133.5732518081,9374.908095079483,2369.923198802142,380.12836714362163,30.103994696727487,12.341501749316809,1.7274878939733243,1.6868471629907285,-26.801874137156833,23.44817567690515,-27.761138278675464
b3,598855.6828267084,-1666396.5682461017,396253.4293415932,527846.9689726727,4060897.302041723,87335.32394526135,-14599.732834886685,7532.9815452535,354133.5732518081,1154059.5040167652,339763.2645716883,8821.646314880807,2025.4309501083312,286.9093603416842,29.506015045847487,6.073014444448656,0.7788803658087345,21.553751952466804,-5.95304243349881,20.823067715386852
b4,699251.6152102281,-1559262.5024972549,357359.00432867376,396534.573712012,3695970.456490226,85355.1173578199,-13739.864799025649,3012.979834136687,9374.908095079483,339763.2645716883,943912.3220700868,300703.75293516583,10628.88880337125,1792.1329508005215,242.41549930713362,17.76618043131678,4.850688146851114,12.489160256002448,-21.410715630315394,11.176241797663227
b5,733288.3322259879,-1414968.2149848493,316630.8390517112,292459.70404816605,3227501.2348712664,78884.90359818947,-12517.619642905755,532.8471080980428,2369.923198802142,8821.646314880807,300703.75293516583,760588.7114595576,266940.8333420647,8384.657963854426,1661.0294571019738,131.78021461231768,10.807412808776343,-2.614878431992696,2.532924463122759,2.3967724154640537
b6,780025.6038907155,-1373770.237007215,303011.492165161,232451.57509892888,3002002.108716961,76728.99706651668,-12196.104608542373,150.15491815404718,380.12836714362163,2025.4309501083312,10628.88880337125,266940.8333420647,699242.3991021154,230359.45580483452,11649.557618630626,1025.0016737849885,73.43247136683087,39.09744045291947,-55.25311122721076,41.64578859922881
b7,697139.5574296233,-1149311.2903056315,251740.6640359621,160564.87133209,2407614.533560072,63870.37923978192,-10249.098054934875,66.29877087502639,30.103994696727487,286.9093603416842,1792.1329508005215,8384.657963854426,230359.45580483452,519568.09383596963,196149.4698460329,4867.587339928292,377.204914862937,41.913924458417796,-52.798590039532314,50.20462372405359
b8,784493.3958126275,-1225525.9524506,267145.51959267753,138949.66358480498,2465375.3260637387,67883.86306245459,-10954.978106106788,31.12554450196275,12.341501749316809,29.506015045847487,242.41549930713362,1661.0294571019738,11649.557618630626,196149.4698460329,611196.3339693954,149733.44621188205,2736.8727464257495,60.23275722070243,-14.790410191782552,89.70152213343151
b9,705003.1687350576,-1042320.9149482355,226080.31369240675,88501.74231944144,2038632.9128105924,58709.90700340296,-9324.916934819086,2.9738904111756934,1.7274878939733243,6.073014444448656,17.76618043131678,131.78021461231768,1025.0016737849885,4867.587339928292,149733.44621188205,569910.9370263751,74867.77285005199,-33.71859519773773,-24.110101199851446,-71.43609722339471
b10,440049.6713632123,-599120.8843055972,128166.54879245919,25699.077787352435,1230863.9026132408,38066.09860688365,-5364.430718827309,4.6959900376782935,1.6868471629907285,0.7788803658087345,4.850688146851114,10.807412808776343,73.43247136683087,377.204914862937,2736.8727464257495,74867.77285005199,397777.0780415941,-236.5878108025699,-136.93923383192165,-413.6659093922495
AIA,16732.969591797384,315.50250223202346,-201.37227195964977,-831.8419947808532,334.7874147705892,44.937854943840264,-2.4683854766853104,87.22131614791941,-26.801874137156833,21.553751952466804,12.489160256002448,-2.614878431992696,39.09744045291947,41.913924458417796,60.23275722070243,-33.71859519773773,-236.5878108025699,3400.9069242785167,554.105390130263,5443.136713657462
betaIA,9697.363507217611,-1830.6235532814278,541.494481406415,1126.5404019728526,3192.014791444763,62.767274698891846,-15.283134269560907,-246.6097154546107,23.44817567690515,-5.95304243349881,-21.410715630315394,2.532924463122759,-55.25311122721076,-52.798590039532314,-14.790410191782552,-24.110101199851446,-136.93923383192165,554.105390130263,1410.3475247834424,1376.9770156671973
etaIA,29417.952895762854,-210.43543022382082,-103.80497193902258,-850.6318275022538,1736.302911241533,93.20144852801837,-9.613352542782247,50.180592209106265,-27.761138278675464,20.823067715386852,11.176241797663227,2.3967724154640537,41.64578859922881,50.20462372405359,89.70152213343151,-71.43609722339471,-413.6659093922495,5443.136713657462,1376.9770156671973,8896.251161373122
