,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,6058972.84886184,-1619379.601772319,367495.83695211733,444325.1578720513,2352676.972422995,31848.698964111714,-12914.172640316136,-730381.3946126589,-87055.58615118421,-94173.88748182888,-26372.402887269323,-21516.638225409446,-6969.520406197447,-2871.6370052242173,44.87622282774373,-1288.3448615077687,-12090.847176557916,9028.912270443001,4689.1099780389495,15668.387928579818
Omegab,-1619379.601772319,2583992.2439119564,-484891.3085323112,-417435.79905927513,-898149.5805097658,18503.0990080664,21699.39511830407,-82923.35194521215,-81897.7496708371,-58653.62459584054,-37402.035771016985,-23357.462033381024,-11941.74891873831,84.19836170881536,22138.721996702687,28949.848013309398,67678.25372574016,680.2040691322251,-547.2543866422438,840.8462499511273
h,367495.83695211733,-484891.3085323112,104400.54905335458,114365.14171013748,69377.1971724578,-7921.0356886731515,-4242.195523660749,10308.362021173996,8188.9899730373945,4007.382264493635,508.80839907365294,-1967.6346554395698,-4090.939058918761,-7389.262020705863,-11479.734210269466,-15188.841304199143,-21149.09235192471,-198.71098832999732,156.89008947979437,-246.350635242836
ns,444325.1578720513,-417435.79905927513,114365.14171013748,212299.0717436583,-479041.4112947947,-25984.79636724546,-3572.5414917521143,-12489.0104173384,-30654.12309076542,-35069.36225261933,-35155.645237749006,-35055.68200443827,-36364.36796472318,-39412.588036936344,-44407.35036522698,-49206.050549564054,-47397.127336089936,-374.03832106426876,339.52363509236517,-445.4786518438188
sigma8,2352676.972422995,-898149.5805097658,69377.1971724578,-479041.4112947947,7556490.957552746,224623.50598203953,-7855.46053746689,572659.0953298634,466574.5318408025,353384.35586649284,285353.6120415367,252457.05862849523,237295.7119639913,234773.94783485477,245127.7990694547,255612.10488412614,223830.42242970684,-898.5130873185864,2190.297979818115,-551.5341260741998
mnu,31848.698964111714,18503.0990080664,-7921.0356886731515,-25984.79636724546,224623.50598203953,7954.9695478157155,143.80720883794552,16967.312886855485,14348.881089063696,10723.84168930931,8664.351618735387,7745.9298208342225,7434.393197892199,7568.491504492496,8239.522480103711,9090.374000156597,8833.083232967481,-4.323245767291598,47.75466003111384,11.404017232099545
Neff,-12914.172640316136,21699.39511830407,-4242.195523660749,-3572.5414917521143,-7855.46053746689,143.80720883794552,195.06618133378376,-830.8560379598058,-776.2850873947394,-585.9554349091343,-376.4041874296348,-243.85174373260492,-148.23220704985602,-9.621527686854094,162.4414940780567,246.60374156870793,602.6384465234488,3.9295064115433047,-5.168412122162293,4.099427273629941
b1,-730381.3946126589,-82923.35194521215,10308.362021173996,-12489.0104173384,572659.0953298634,16967.312886855485,-830.8560379598058,605719.8882700577,-21712.074147251686,12616.382661263346,-140.57105752825774,98.49635587797025,11.335541088317525,5.212348242287178,2.9516247168800778,0.44040058089443074,1.0447384918208824,30.116856094996937,-72.88130823043036,21.61452315981291
b2,-87055.58615118421,-81897.7496708371,8188.9899730373945,-30654.12309076542,466574.5318408025,14348.881089063696,-776.2850873947394,-21712.074147251686,425947.1262245275,-143532.3529914874,34250.92038759389,-2219.2287902179405,143.89234747783135,5.042568264273415,0.2082279018217663,0.20375225869520927,0.18272523090160347,-121.62782211132247,276.80608109766195,-90.32725098557866
b3,-94173.88748182888,-58653.62459584054,4007.382264493635,-35069.36225261933,353384.35586649284,10723.84168930931,-585.9554349091343,12616.382661263346,-143532.3529914874,592264.3653260523,-275980.04628339026,66137.6087341659,-4247.701732923826,198.72819604189252,7.209931159457563,0.1903492333986119,0.18241392631702452,92.07907722510919,-113.74954181682736,90.29177045944547
