,Omegam,Omegab,h,ns,sigma8,mnu,Neff,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,6111828.748740901,-1806397.4891388621,429001.1528445641,520459.0976382387,2648245.6482638996,-43059.28134249727,-17367.322687394368,-612836.1150134847,-136288.8294601878,-58227.29944325526,-22305.263203356426,-429.9387462234481,11035.061405468843,14858.906093915453,18915.4284398445,15376.599462818049,1297.112948125775,9183.650759150805,4708.803810141272,15911.37951445206
Omegab,-1806397.4891388621,2627598.1788781956,-530169.6224436311,-555475.3830142204,-1305859.1105923497,-11342.233352631605,22458.67278110637,-103671.76256641149,-99837.01027164957,-73757.04767019363,-61906.32815125656,-47184.87254186873,-35858.60602928932,-19621.146075325145,-6585.290501719806,11496.13728142674,47081.128335346955,636.0009277957673,-566.7464786604932,766.3855156458936
h,429001.1528445641,-530169.6224436311,116801.36746051672,130682.56927301131,220736.73932652455,-3670.9819936765816,-4711.3143215488735,15681.668128005354,17257.868215178692,11982.825312120669,9226.014990073547,6033.678635958144,3143.7842142547865,-199.57234548525412,-4086.313193444934,-9301.411449163099,-16229.129293366263,-159.03748691474786,142.58846845695183,-191.2630317619307
ns,520459.0976382387,-555475.3830142204,130682.56927301131,158408.52096983595,188495.65584089968,-10282.692941025456,-4975.765225695662,24575.906312700157,16800.6617512632,7479.2097622908095,3300.9752517399365,-420.1920798973515,-4339.916075880675,-7319.810059179828,-12967.885205124005,-18919.808951261864,-24157.141932217837,-275.0040378313949,269.02261939193016,-321.43326282597866
sigma8,2648245.6482638996,-1305859.1105923497,220736.73932652455,188495.65584089968,7304749.105556347,401347.4813935484,-11408.892045178887,568108.130222725,430177.83448174543,322852.88650361774,292211.6115320862,261207.41282448242,255102.95523672097,219928.05051303917,253389.1619175365,256180.25104148974,223614.18556387624,-834.5649785719368,2153.4563714367205,-467.38026855291133
mnu,-43059.28134249727,-11342.233352631605,-3670.9819936765816,-10282.692941025456,401347.4813935484,29678.836872713313,-40.089101406514644,52105.711200976606,31611.70265555548,23462.849377391372,20944.531921696213,18560.900378339866,18232.07784293792,15922.889445799865,18800.094173003905,19835.320534470804,18643.574280844317,-74.9143962426944,49.60330816594608,-96.24956713785734
Neff,-17367.322687394368,22458.67278110637,-4711.3143215488735,-4975.765225695662,-11408.892045178887,-40.089101406514644,201.68285866153184,-636.5800775646666,-771.8693958454202,-577.4815513749144,-487.1327073308986,-370.30331822895045,-275.79853381171665,-136.89700362593112,-24.717184899750876,143.56461050860494,453.4431586662099,2.222986180849024,-6.198590948855298,1.09469054053602
b1,-612836.1150134847,-103671.76256641149,15681.668128005354,24575.906312700157,568108.130222725,52105.711200976606,-636.5800775646666,510832.8521171526,43895.520494900666,505.9658313934166,652.8923673059879,14.5857276927382,42.929695143738115,5.168951456127976,3.6473868314761715,0.013080602570891033,1.306528705538529,-5.857646883364344,16.624518721941843,-3.060721705734589
b2,-136288.8294601878,-99837.01027164957,17257.868215178692,16800.6617512632,430177.83448174543,31611.70265555548,-771.8693958454202,43895.520494900666,236411.34268251783,33350.35579167864,75.96682102204697,711.610547292302,-19.830124544367347,21.23628825979881,5.777164673718056,0.12419108102548365,0.8364322262346798,-61.43837163763839,142.88566044188866,-45.87663071720914
b3,-58227.29944325526,-73757.04767019363,11982.825312120669,7479.2097622908095,322852.88650361774,23462.849377391372,-577.4815513749144,505.9658313934166,33350.35579167864,156791.98265479648,34097.596125093885,-134.58425241220422,568.1824841760996,15.431114810592199,4.242054279998476,5.2664077660543995,0.05141814951495294,-67.8468088767962,123.46693891216863,-56.19027992971419
b4,-22305.263203356426,-61906.32815125656,9226.014990073547,3300.9752517399365,292211.6115320862,20944.531921696213,-487.1327073308986,652.8923673059879,75.96682102204697,34097.596125093885,126669.79673921435,30644.049409927706,231.32281761067526,406.67075198049395,53.39763207413867,6.753289260425932,3.86264636214554,-112.48371216097455,143.6375931111554,-108.0152113004316
b5,-429.9387462234481,-47184.87254186873,6033.678635958144,-420.1920798973515,261207.41282448242,18560.900378339866,-370.30331822895045,14.5857276927382,711.610547292302,-134.58425241220422,30644.049409927706,102670.73372589215,27738.733405416315,464.83637697043923,353.2165847801766,58.67921326298005,7.7453069161523445,-77.68297204218919,99.29725184765553,-78.06221719646092
b6,11035.061405468843,-35858.60602928932,3143.7842142547865,-4339.916075880675,255102.95523672097,18232.07784293792,-275.79853381171665,42.929695143738115,-19.830124544367347,568.1824841760996,231.32281761067526,27738.733405416315,96272.33816105484,24502.98213600208,1004.6962094415318,279.1661352590057,49.606596463705976,-40.351974468219005,39.678636299958434,-50.16874481534602
b7,14858.906093915453,-19621.146075325145,-199.57234548525412,-7319.810059179828,219928.05051303917,15922.889445799865,-136.89700362593112,5.168951456127976,21.23628825979881,15.431114810592199,406.67075198049395,464.83637697043923,24502.98213600208,76550.80014422796,20497.44460972934,716.9816685325487,117.20257310666945,-29.090328807882475,16.014191550580872,-39.76329292746741
b8,18915.4284398445,-6585.290501719806,-4086.313193444934,-12967.885205124005,253389.1619175365,18800.094173003905,-24.717184899750876,3.6473868314761715,5.777164673718056,4.242054279998476,53.39763207413867,353.2165847801766,1004.6962094415318,20497.44460972934,95195.53287206813,16970.304864943584,627.9697905485084,-30.413781211004697,24.55197034782689,-36.099576315077606
b9,15376.599462818049,11496.13728142674,-9301.411449163099,-18919.808951261864,256180.25104148974,19835.320534470804,143.56461050860494,0.013080602570891033,0.12419108102548365,5.2664077660543995,6.753289260425932,58.67921326298005,279.1661352590057,716.9816685325487,16970.304864943584,98614.37002276677,11601.317405878397,-137.2761556680136,-46.937675781112404,-235.4742653831914
b10,1297.112948125775,47081.128335346955,-16229.129293366263,-24157.141932217837,223614.18556387624,18643.574280844317,453.4431586662099,1.306528705538529,0.8364322262346798,0.05141814951495294,3.86264636214554,7.7453069161523445,49.606596463705976,117.20257310666945,627.9697905485084,11601.317405878397,89686.99936876321,-339.44180389944535,-204.3622955532156,-597.7335210460802
AIA,9183.650759150805,636.0009277957673,-159.03748691474786,-275.0040378313949,-834.5649785719368,-74.9143962426944,2.222986180849024,-5.857646883364344,-61.43837163763839,-67.8468088767962,-112.48371216097455,-77.68297204218919,-40.351974468219005,-29.090328807882475,-30.413781211004697,-137.2761556680136,-339.44180389944535,1770.565955612233,415.23081633368275,2881.3340036341424
betaIA,4708.803810141272,-566.7464786604932,142.58846845695183,269.02261939193016,2153.4563714367205,49.60330816594608,-6.198590948855298,16.624518721941843,142.88566044188866,123.46693891216863,143.6375931111554,99.29725184765553,39.678636299958434,16.014191550580872,24.55197034782689,-46.937675781112404,-204.3622955532156,415.23081633368275,694.7086193354361,897.1091196616969
etaIA,15911.37951445206,766.3855156458936,-191.2630317619307,-321.43326282597866,-467.38026855291133,-96.24956713785734,1.09469054053602,-3.060721705734589,-45.87663071720914,-56.19027992971419,-108.0152113004316,-78.06221719646092,-50.16874481534602,-39.76329292746741,-36.099576315077606,-235.4742653831914,-597.7335210460802,2881.3340036341424,897.1091196616969,4772.14397005868
