,Omegam,Omegab,h,ns,sigma8,mnu,Neff,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,6112287.088237939,-1805769.4514797076,429193.4194524723,520547.01253604563,2649154.8801701805,-44568.095920133404,-15400.645544304993,-479771.12971846526,-75251.40816736972,-612732.6585275825,-136235.07788850067,-58184.77907086284,-22267.267327161786,-395.5687068828074,11069.803401020024,14889.881795203291,18952.312505281516,15415.001390504527,1331.905400282786,9183.409142351376,4708.954793404105,15911.065673593812
Omegab,-1805769.4514797076,2626791.9261193927,-530113.2977161887,-555413.5483672481,-1304159.7321400258,-11168.269621416728,22060.465011481578,-70906.70241410851,-11045.089485718418,-103509.25149202757,-99710.40974483911,-73657.97486709486,-61816.638346607426,-47108.227303984975,-35786.106752424195,-19558.578096046076,-6570.126351274079,11460.739793695519,47127.0612875423,635.9516441038336,-566.0332552830675,766.5779400370603
h,429193.4194524723,-530113.2977161887,116806.47820532303,130688.29148130602,221061.96492330206,-3669.7815418218715,-4604.482494443358,-7813.283436397434,-2631.9369474953974,15688.019442180026,17265.255625713864,11989.302169465132,9234.035855722483,6042.505174813476,3153.4416838424922,-189.97962975805058,-4073.2000028640628,-9287.35910579042,-16214.417995235613,-159.04044776331187,142.72117906096992,-191.21721398727453
ns,520547.01253604563,-555413.5483672481,130688.29148130602,158418.6533106383,188645.310288689,-10293.259913944763,-4830.605704871102,-34200.26893343988,-8615.07835690888,24581.457920613186,16805.012652340243,7481.923502202793,3304.317183714956,-416.2856339456448,-4335.661671092716,-7315.566594139168,-12962.369375521961,-18913.67783148849,-24151.688805033395,-275.00022281766354,269.04634254266796,-321.4184360115462
sigma8,2649154.8801701805,-1304159.7321400258,221061.96492330206,188645.310288689,7304878.507339591,399619.8915787144,-11105.38751012335,1030980.2208747019,219284.05044907177,568121.943441139,430185.81596022646,322857.3335815376,292215.73601920187,261210.20884485525,255105.02196282876,219929.29815592902,253389.74717808538,256179.71892790275,223612.39067904642,-834.5157545034749,2153.3430778833654,-467.3469842114974
mnu,-44568.095920133404,-11168.269621416728,-3669.7815418218715,-10293.259913944763,399619.8915787144,29552.281649732537,-90.3022669970865,91093.60131727585,18963.117725393586,52180.37726868248,31624.310223982367,23457.01667450892,20923.73844435833,18528.424624744417,18188.294858244783,15875.611952760926,18735.322346010264,19758.72661523024,18566.329996392178,-74.74857503699009,48.566592495810845,-96.38697235057455
Neff,-15400.645544304993,22060.465011481578,-4604.482494443358,-4830.605704871102,-11105.38751012335,-90.3022669970865,194.2594653998315,-594.4732531657952,-89.63178677664922,-891.7011957765816,-859.8805707186654,-633.0990177727521,-528.5694932451845,-401.1392883798486,-301.930352100753,-157.1973195470189,-46.84134012019504,120.8783724565223,430.74004781442596,5.930535810210695,-4.71586191355123,7.359647602940898
w0,-479771.12971846526,-70906.70241410851,-7813.283436397434,-34200.26893343988,1030980.2208747019,91093.60131727585,-594.4732531657952,325650.2613771709,67731.16933693548,160507.26331919065,109006.0638623209,85476.09126789404,76107.68371481154,66135.47764711601,63085.27886461746,53170.772020078104,60354.342634987326,60859.581430287515,53357.64869562716,205.03996905210178,125.35005284897896,366.4844908739571
wa,-75251.40816736972,-11045.089485718418,-2631.9369474953974,-8615.07835690888,219284.05044907177,18963.117725393586,-89.63178677664922,67731.16933693548,14832.1153486278,21045.716009457974,18136.84146946509,16161.58365170275,15583.509221607523,14417.68829943663,14453.820304393968,12676.887896913946,14927.945504424104,15638.710024074533,14331.589168541068,121.97045757509095,64.351084116993,213.02422047162878
b1,-612732.6585275825,-103509.25149202757,15688.019442180026,24581.457920613186,568121.943441139,52180.37726868248,-891.7011957765816,160507.26331919065,21045.716009457974,510817.0267566511,43894.45629960031,505.98223701668996,652.8624728325528,14.593039899557382,42.92573003131939,5.1694459083504825,3.6473685740879467,0.013076350791180757,1.306514317931752,-5.856638596378279,16.621308575283738,-3.060318966267988
b2,-136235.07788850067,-99710.40974483911,17265.255625713864,16805.012652340243,430185.81596022646,31624.310223982367,-859.8805707186654,109006.0638623209,18136.84146946509,43894.45629960031,236406.96394490096,33349.9464253195,76.01949815371687,711.5774442405228,-19.823269195002872,21.234412733626886,5.7769870321241985,0.12429441699622791,0.8363911920105762,-61.43407815428022,142.87531546354603,-45.873496661317795
b3,-58184.77907086284,-73657.97486709486,11989.302169465132,7481.923502202793,322857.3335815376,23457.01667450892,-633.0990177727521,85476.09126789404,16161.58365170275,505.98223701668996,33349.9464253195,156788.9332096232,34097.169811358326,-134.52502230120393,568.1570197766904,15.433409583479019,4.242503161700417,5.266181509604736,0.05145603170785695,-67.84191283582119,123.45827486694012,-56.18619915708353
