,Omegam,Omegab,h,ns,sigma8,mnu,Neff,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,6111385.350685837,-1807351.456581668,429127.41160566173,520979.92459331884,2652760.454952461,-43411.51664456187,-15429.960626027056,-487169.5898440266,-77673.20739112014,-612299.1407809071,-135920.00733424973,-57872.690188009394,-22006.508427925975,-176.79923659341694,11280.23046669787,15035.094339566895,19046.213401478897,15426.189321141428,1294.2839368648602,9180.589303700559,4708.010678399913,15906.372428907393
Omegab,-1807351.456581668,2621920.2645771215,-529731.74382955,-556097.3265731056,-1307059.9217587372,-12035.471677475494,22040.28615399811,-68742.4713191046,-10355.884429582646,-103922.0926012061,-100026.18869088645,-73869.28724935076,-61872.06210004567,-47207.490449929,-35904.62531925067,-19573.80007379233,-6557.896444474596,11688.52745970393,47121.57274073482,634.9387587982712,-566.0744596281145,764.9981122928601
h,429127.41160566173,-529731.74382955,116664.12873222912,130637.19014776076,221205.36521591683,-3435.1620279589897,-4603.288835843854,-8339.738937721302,-2796.5724872175197,15700.675830692488,17238.084918959932,11950.28679639497,9231.028685319185,6050.239756303467,3172.192698668413,-171.20849459892042,-4059.1564675301834,-9277.651918658745,-16192.103971598899,-158.92033339853967,142.76089266565378,-191.0152301539048
ns,520979.92459331884,-556097.3265731056,130637.19014776076,158303.71913453893,194515.33929791604,-9614.105529444883,-4838.823874435335,-33938.338887223195,-8659.100129219863,24871.711551035336,17150.48424298908,8313.628417707727,3866.341618769413,-188.3207560118276,-4142.931956385808,-7175.448748062601,-12796.903873762903,-18739.29540898525,-24005.999663254017,-276.9225507726373,269.8289946000881,-324.105231428303
sigma8,2652760.454952461,-1307059.9217587372,221205.36521591683,194515.33929791604,7310660.587703189,397474.59809705353,-11127.39904274859,1024531.8610796988,217229.07612426137,568033.0043095117,430185.48558657605,323609.547283146,293036.50848159374,261224.24532240405,255056.63229483317,219872.27745820588,253330.45327266734,256136.53036493206,223568.8289906389,-834.4679781525559,2152.8538614542713,-467.5106356486647
mnu,-43411.51664456187,-12035.471677475494,-3435.1620279589897,-9614.105529444883,397474.59809705353,29154.47614562731,-97.08343667211633,90283.14095126737,18773.428992196114,51985.22630683787,31454.561580489237,23296.52306607993,20761.537824784602,18382.249931753835,18043.759090141197,15747.91236578282,18581.985733185003,19600.27366419678,18419.66573387554,-71.98012170874074,47.73907715415956,-92.44724446480575
Neff,-15429.960626027056,22040.28615399811,-4603.288835843854,-4838.823874435335,-11127.39904274859,-97.08343667211633,194.19075968851658,-572.9610789250999,-83.07228696117974,-895.1644474049637,-862.2282013587704,-634.4158503302476,-529.0949094271041,-400.90525353351757,-301.7358023958162,-156.5458592961047,-45.71473901281611,123.25206992616994,431.59385345217515,5.939455092713988,-4.729650261499793,7.368086865226095
w0,-487169.5898440266,-68742.4713191046,-8339.738937721302,-33938.338887223195,1024531.8610796988,90283.14095126737,-572.9610789250999,325854.2185643455,67780.75331699126,160041.4202249988,108867.9013518182,85398.89709525862,76062.16710953559,66130.21136443407,63088.32277344836,53174.20884050961,60345.15178547474,60838.88550304154,53347.407609118374,211.9996048920582,114.60911531249111,373.07619518459376
wa,-77673.20739112014,-10355.884429582646,-2796.5724872175197,-8659.100129219863,217229.07612426137,18773.428992196114,-83.07228696117974,67780.75331699126,14840.640259433269,20901.10473462953,18095.578110309558,16150.87300177343,15577.811120824379,14417.107651629225,14455.128958718844,12677.636886612498,14926.270372040166,15635.286621597153,14329.242503243186,124.14280838560398,60.96257775645217,215.06783672636536
b1,-612299.1407809071,-103922.0926012061,15700.675830692488,24871.711551035336,568033.0043095117,51985.22630683787,-895.1644474049637,160041.4202249988,20901.10473462953,510714.53302167624,43888.09496217474,505.8090635462081,652.7561581120224,14.609801967559186,42.90823674867943,5.171101566152206,3.6470750381883943,0.013094698339999572,1.3064137912061273,-5.8416639016349405,16.576176844760855,-3.053299673407593
b2,-135920.00733424973,-100026.18869088645,17238.084918959932,17150.48424298908,430185.48558657605,31454.561580489237,-862.2282013587704,108867.9013518182,18095.578110309558,43888.09496217474,236375.55693360404,33347.4619299918,76.10671217971901,711.4107828741801,-19.79236108350415,21.218895817112262,5.775837153836969,0.12406543972250654,0.8361013462602149,-61.394963397550136,142.77788721013363,-45.84545217427376
b3,-57872.690188009394,-73869.28724935076,11950.28679639497,8313.628417707727,323609.547283146,23296.52306607993,-634.4158503302476,85398.89709525862,16150.87300177343,505.8090635462081,33347.4619299918,156765.0700828984,34094.60443402843,-134.24037676524782,567.9714023383477,15.456797333232776,4.236620228870072,5.263905755945038,0.05143429889775498,-67.78736430697798,123.36288293319723,-56.1407490187284
