,Omegam,h,sigma8,Omegab,Neff,ns,mnu,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3352416.812170918,-5738233.640182842,440798.57586262847,-2491410.684577604,-21107.62875814939,583589.5717774841,-75441.9818309765,898494.0606257945,898271.0755443432,756996.5591473705,675973.6791718532,131.06395065454777,122.9590770054634,97.97886818503638,83.53253782305899
h,-5738233.640182842,17869817.93503429,-2052768.5336723635,1651903.2242376981,13689.913844646797,-423625.9179984428,98447.47348680612,-2387237.673325998,-2292585.3241615994,-1897081.9033455905,-1737861.8767043492,-318.264215063515,-283.7451330139462,-215.64821802743387,-175.87377400074348
sigma8,440798.57586262847,-2052768.5336723635,311126.3571822202,-107231.32092076479,-922.7065514807791,1290.9998067096094,-7983.063182023223,242124.53958309384,229625.64380695904,189576.9922581383,177522.20836132218,30.366358915927844,26.552933536894564,19.9200897819556,16.278105210140218
Omegab,-2491410.684577604,1651903.2242376981,-107231.32092076479,5547296.222127774,46839.589614451856,-1139976.688398534,118247.18092687074,-321950.8656014727,-254565.14815650944,-133185.8325934201,35136.621642232,-101.13275517919206,-89.18710756187598,-65.79002234376084,-49.10018591497614
Neff,-21107.62875814939,13689.913844646797,-922.7065514807791,46839.589614451856,428.85606813484554,-10189.234266332891,1021.5525769811964,-2808.1115942743236,-2192.7138964269643,-1113.204513116073,383.812764632406,-0.8989850898427187,-0.789439716767616,-0.5797995010625979,-0.42993832346402455
ns,583589.5717774841,-423625.9179984428,1290.9998067096094,-1139976.688398534,-10189.234266332891,331717.81886566215,-32099.905038610203,59898.051053503266,40187.167787383776,9167.251194930417,-38542.46767675165,28.033744536770048,24.556587269053118,17.87022153093207,12.903075059834164
mnu,-75441.9818309765,98447.47348680612,-7983.063182023223,118247.18092687074,1021.5525769811964,-32099.905038610203,3693.161389225008,-13885.285979902641,-11157.455235072928,-6685.3926587080205,-1555.6284940913392,-3.3420081250092073,-2.8435166692322484,-2.036941444288605,-1.4843690864111339
lnbgs8_1,898494.0606257945,-2387237.673325998,242124.53958309384,-321950.8656014727,-2808.1115942743236,59898.051053503266,-13885.285979902641,1264486.4852130343,0.0,0.0,0.0,145.51143829239132,0.0,0.0,0.0
lnbgs8_2,898271.0755443432,-2292585.3241615994,229625.64380695904,-254565.14815650944,-2192.7138964269643,40187.167787383776,-11157.455235072928,0.0,1248088.502300824,0.0,0.0,0.0,134.57651636421994,0.0,0.0
lnbgs8_3,756996.5591473705,-1897081.9033455905,189576.9922581383,-133185.8325934201,-1113.204513116073,9167.251194930417,-6685.3926587080205,0.0,0.0,1063971.933488676,0.0,0.0,0.0,106.34253050473401,0.0
lnbgs8_4,675973.6791718532,-1737861.8767043492,177522.20836132218,35136.621642232,383.812764632406,-38542.46767675165,-1555.6284940913392,0.0,0.0,0.0,1012819.1354661987,0.0,0.0,0.0,91.03012556940956
Ps_1,131.06395065454777,-318.264215063515,30.366358915927844,-101.13275517919206,-0.8989850898427187,28.033744536770048,-3.3420081250092073,145.51143829239132,0.0,0.0,0.0,0.024942448423683056,0.0,0.0,0.0
Ps_2,122.9590770054634,-283.7451330139462,26.552933536894564,-89.18710756187598,-0.789439716767616,24.556587269053118,-2.8435166692322484,0.0,134.57651636421994,0.0,0.0,0.0,0.021748144149411563,0.0,0.0
Ps_3,97.97886818503638,-215.64821802743387,19.9200897819556,-65.79002234376084,-0.5797995010625979,17.87022153093207,-2.036941444288605,0.0,0.0,106.34253050473401,0.0,0.0,0.0,0.01617400452931043,0.0
Ps_4,83.53253782305899,-175.87377400074348,16.278105210140218,-49.10018591497614,-0.42993832346402455,12.903075059834164,-1.4843690864111339,0.0,0.0,0.0,91.03012556940956,0.0,0.0,0.0,0.012942939389079072
