,Omegam,Omegab,h,ns,sigma8,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3374324.826681261,-2507240.500287677,-5781129.178918312,588266.0472680377,442202.4809974719,-34931.43422163394,-20469.693423204546,904191.270237426,904764.256364506,763278.6357884707,682817.4133968509,130.8289136325204,122.84684601626961,97.99486559109246,83.7054204794766
Omegab,-2507240.500287677,5570617.75468921,1680197.437281611,-1145879.458438257,-110285.81152285148,84132.7998100124,45938.53395893351,-326405.9102469936,-258957.72723857456,-136775.09285165457,32520.589187951264,-101.14503485875636,-89.27014840671686,-65.92800693349722,-49.30897915206485
h,-5781129.178918312,1680197.437281611,18085660.641886428,-433761.2139805219,-2073973.8685946553,-29185.27906525986,12787.237591673073,-2408888.5720621916,-2314625.359131991,-1916736.5332353506,-1757998.9279216207,-318.91215669299737,-284.504126858069,-216.4129026871856,-176.77630004270725
ns,588266.0472680377,-1145879.458438257,-433761.2139805219,333886.87697911623,1985.7478353806982,-24624.49044541905,-9922.699412195434,61103.46793579251,41321.303948516084,10012.491404283932,-38103.85793595605,28.086128078293846,24.623187259533765,17.940067465080155,12.982105344143019
sigma8,442202.4809974719,-110285.81152285148,-2073973.8685946553,1985.7478353806982,313646.407586484,9817.875813515913,-853.9007530385095,243928.18315512512,231461.85075546397,191227.02804795429,179283.10877115215,30.39551579476785,26.59471111385601,19.96729213143179,16.341080703762742
mnu,-34931.43422163394,84132.7998100124,-29185.27906525986,-24624.49044541905,9817.875813515913,2334.236470874333,696.3181770750541,1521.6679684202581,3210.2443694142435,4785.940479660453,8366.124992946903,-1.0539041298313314,-0.849756802485161,-0.5547150187938457,-0.3024354043777649
Neff,-20469.693423204546,45938.53395893351,12787.237591673073,-9922.699412195434,-853.9007530385095,696.3181770750541,412.53830059115216,-2690.242493797666,-2105.804874655587,-1068.6447934728674,382.02669484008624,-0.8633048164694179,-0.7598861164623155,-0.5593254706958622,-0.41596119105477897
lnbgs8_1,904191.270237426,-326405.9102469936,-2408888.5720621916,61103.46793579251,243928.18315512512,1521.6679684202581,-2690.242493797666,1274543.5076166722,3.7356635777095727e-10,3.607253528833728e-08,-5.193875630695278e-09,145.63970543772197,-2.195777408106772e-12,3.3833512779505125e-12,-1.5180456779740125e-12
lnbgs8_2,904764.256364506,-258957.72723857456,-2314625.359131991,41321.303948516084,231461.85075546397,3210.2443694142435,-2105.804874655587,3.7356635777095727e-10,1258695.3408732591,2.45631745678779e-08,-1.764456522100717e-08,1.824544290332554e-12,134.77999908784136,3.4880116885784363e-12,-1.5650048231990859e-12
lnbgs8_3,763278.6357884707,-136775.09285165457,-1916736.5332353506,10012.491404283932,191227.02804795429,4785.940479660453,-1068.6447934728674,3.607253528833728e-08,2.45631745678779e-08,1073841.418788559,1.844226794126183e-08,1.8512642865037235e-12,-2.2968528146316e-12,106.59809095619009,-1.5879239285917626e-12
lnbgs8_4,682817.4133968509,32520.589187951264,-1757998.9279216207,-38103.85793595605,179283.10877115215,8366.124992946903,382.02669484008624,-5.193875630695278e-09,-1.764456522100717e-08,1.844226794126183e-08,1023502.8639450248,1.8021125818774272e-12,-2.2358705810640265e-12,3.4451286181586823e-12,91.39551601075983
Ps_1,130.8289136325204,-101.14503485875636,-318.91215669299737,28.086128078293846,30.39551579476785,-1.0539041298313314,-0.8633048164694179,145.63970543772197,1.824544290332554e-12,1.8512642865037235e-12,1.8021125818774272e-12,0.02476669653194634,0.0,0.0,0.0
Ps_2,122.84684601626961,-89.27014840671686,-284.504126858069,24.623187259533765,26.59471111385601,-0.849756802485161,-0.7598861164623155,-2.195777408106772e-12,134.77999908784136,-2.2968528146316e-12,-2.2358705810640265e-12,0.0,0.02160877460542163,0.0,0.0
Ps_3,97.99486559109246,-65.92800693349722,-216.4129026871856,17.940067465080155,19.96729213143179,-0.5547150187938457,-0.5593254706958622,3.3833512779505125e-12,3.4880116885784363e-12,106.59809095619009,3.4451286181586823e-12,0.0,0.0,0.01608474424608437,0.0
Ps_4,83.7054204794766,-49.30897915206485,-176.77630004270725,12.982105344143019,16.341080703762742,-0.3024354043777649,-0.41596119105477897,-1.5180456779740125e-12,-1.5650048231990859e-12,-1.5879239285917626e-12,91.39551601075983,0.0,0.0,0.0,0.012894357735784196
