,Omegam,Omegab,h,ns,sigma8,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3374589.042257465,-2508601.227041847,-5780992.964473834,588469.3130882015,442027.2350084486,-36986.395945428485,-20478.213571213568,904074.1196269529,904625.1985693185,763181.48270733,682681.0273050799,130.83481247860897,122.84917332050767,97.99952419603993,83.68422096917027
Omegab,-2508601.227041847,5585529.22737051,1680844.784658336,-1145660.1141871933,-110356.18346152623,87323.07338995044,45997.541671205065,-326485.904511283,-259080.49527740933,-136747.78103274736,32576.758371194126,-101.152938687902,-89.28734658606034,-65.91127875993017,-49.28895921630034
h,-5780992.964473834,1680844.784658336,18085348.40216511,-433776.6265910766,-2074143.6732958695,-25877.23056674555,12844.80567918437,-2409184.008824316,-2314859.087002319,-1916916.0393058844,-1758164.8627046072,-318.9732650239298,-284.5474400238793,-216.43940186323834,-176.75313273646344
ns,588469.3130882015,-1145660.1141871933,-433776.6265910766,333876.91070331755,1986.5696541373327,-25621.40504490202,-9918.554351652134,61115.19194313722,41330.835635055,10018.24834871781,-38100.84910435889,28.089317339493334,24.625761977493546,17.94175100637248,12.980296208428353
sigma8,442027.2350084486,-110356.18346152623,-2074143.6732958695,1986.5696541373327,313625.776322864,9535.432383074565,-857.2124065715819,243913.84043746366,231444.7451560627,191214.9046054511,179272.1091994225,30.394601932730218,26.59331145970012,19.96631559179667,16.336698286743314
mnu,-36986.395945428485,87323.07338995044,-25877.23056674555,-25621.40504490202,9535.432383074565,2447.8554810662545,724.0356296899356,1136.4271632588461,2881.1655393380806,4576.650542905503,8293.325622330096,-1.1762922216820764,-0.956661805977524,-0.6319785426194862,-0.35962399292340863
Neff,-20478.213571213568,45997.541671205065,12844.80567918437,-9918.554351652134,-857.2124065715819,724.0356296899356,412.4099070503687,-2693.591852565216,-2108.4861233873216,-1069.5750090671818,379.2376051028673,-0.8635679378428047,-0.7599982067891415,-0.559257566583161,-0.4160542888290273
lnbgs8_1,904074.1196269529,-326485.904511283,-2409184.008824316,61115.19194313722,243913.84043746366,1136.4271632588461,-2693.591852565216,1274472.736841885,0.0,0.0,0.0,145.6362422602546,0.0,0.0,0.0
lnbgs8_2,904625.1985693185,-259080.49527740933,-2314859.087002319,41330.835635055,231444.7451560627,2881.1655393380806,-2108.4861233873216,0.0,1258627.0756331212,0.0,0.0,0.0,134.77635199142543,0.0,0.0
lnbgs8_3,763181.48270733,-136747.78103274736,-1916916.0393058844,10018.24834871781,191214.9046054511,4576.650542905503,-1069.5750090671818,0.0,0.0,1073776.119814672,0.0,0.0,0.0,106.59399269197968,0.0
lnbgs8_4,682681.0273050799,32576.758371194126,-1758164.8627046072,-38100.84910435889,179272.1091994225,8293.325622330096,379.2376051028673,0.0,0.0,0.0,1023446.3564706058,0.0,0.0,0.0,91.37034306672669
Ps_1,130.83481247860897,-101.152938687902,-318.9732650239298,28.089317339493334,30.394601932730218,-1.1762922216820764,-0.8635679378428047,145.6362422602546,0.0,0.0,0.0,0.024768637161059374,0.0,0.0,0.0
Ps_2,122.84917332050767,-89.28734658606034,-284.5474400238793,24.625761977493546,26.59331145970012,-0.956661805977524,-0.7599982067891415,0.0,134.77635199142543,0.0,0.0,0.0,0.021610309702961572,0.0,0.0
Ps_3,97.99952419603993,-65.91127875993017,-216.43940186323834,17.94175100637248,19.96631559179667,-0.6319785426194862,-0.559257566583161,0.0,0.0,106.59399269197968,0.0,0.0,0.0,0.016085723750773075,0.0
Ps_4,83.68422096917027,-49.28895921630034,-176.75313273646344,12.980296208428353,16.336698286743314,-0.35962399292340863,-0.4160542888290273,0.0,0.0,0.0,91.37034306672669,0.0,0.0,0.0,0.012889163428048892
