,Omegam,Omegab,h,ns,sigma8,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3374614.397324102,-2507400.404647964,-5782156.370181402,588312.556569128,442218.25114735856,-34954.06129929369,-20472.512691573633,904230.7839783459,904796.7835933046,763302.6583964272,682834.2322282896,130.83614922083504,122.85276513897645,97.99927404793391,83.68958218010177
Omegab,-2507400.404647964,5570324.976354154,1685293.4356199312,-1145858.803007195,-110293.45045610402,84172.50032387249,45936.21831706837,-326409.17073315056,-258957.66726172867,-136772.59816792217,32521.858040988096,-101.14366608374763,-89.2680888302189,-65.92527943694884,-49.295532774437746
h,-5782156.370181402,1685293.4356199312,18083742.680383336,-433938.3712586076,-2074126.7333960573,-29170.256423226765,12841.642310359266,-2409135.91838809,-2314818.1616443163,-1916859.9468199422,-1758077.6881158806,-318.98881276583757,-284.56105537703934,-216.44685515184034,-176.75672417981494
ns,588312.556569128,-1145858.803007195,-433938.3712586076,333887.0721270081,1987.1539111440288,-24631.802869414463,-9922.754871214209,61105.35977389965,41323.162275785086,10014.070189383638,-38102.35638918939,28.086346887204723,24.62338813628694,17.940225215335435,12.979340079092411
sigma8,442218.25114735856,-110293.45045610402,-2074126.7333960573,1987.1539111440288,313648.0128024086,9814.452835095783,-854.5307599553129,243928.70113329828,231462.30545517022,191227.37739782303,179283.41516346292,30.39558383906854,26.59476566106721,19.96732976118549,16.337814682749773
mnu,-34954.06129929369,84172.50032387249,-29170.256423226765,-24631.802869414463,9814.452835095783,2334.790869899132,696.6649288635897,1516.4400028891541,3206.017863385856,4783.296138768067,8364.79929483539,-1.0552161841644536,-0.8507811208170759,-0.5553682782326239,-0.30285838197661213
Neff,-20472.512691573633,45936.21831706837,12841.642310359266,-9922.754871214209,-854.5307599553129,696.6649288635897,412.4677003527155,-2690.753043172047,-2106.2556951745837,-1068.9981412798397,381.6380106698375,-0.8634137287472494,-0.7599745846193182,-0.5593817550494109,-0.4159178185699403
lnbgs8_1,904230.7839783459,-326409.17073315056,-2409135.91838809,61105.35977389965,243928.70113329828,1516.4400028891541,-2690.753043172047,1274543.507571817,0.0,0.0,0.0,145.63970543505783,0.0,0.0,0.0
lnbgs8_2,904796.7835933046,-258957.66726172867,-2314818.1616443163,41323.162275785086,231462.30545517022,3206.017863385856,-2106.2556951745837,0.0,1258695.3408599389,0.0,0.0,0.0,134.77999908706923,0.0,0.0
lnbgs8_3,763302.6583964272,-136772.59816792217,-1916859.9468199422,10014.070189383638,191227.37739782303,4783.296138768067,-1068.9981412798397,0.0,0.0,1073841.4187514938,0.0,0.0,0.0,106.5980909543131,0.0
lnbgs8_4,682834.2322282896,32521.858040988096,-1758077.6881158806,-38102.35638918939,179283.41516346292,8364.79929483539,381.6380106698375,0.0,0.0,0.0,1023502.8639086633,0.0,0.0,0.0,91.37485180585159
Ps_1,130.83614922083504,-101.14366608374763,-318.98881276583757,28.086346887204723,30.39558383906854,-1.0552161841644536,-0.8634137287472494,145.63970543505783,0.0,0.0,0.0,0.02476669653194634,0.0,0.0,0.0
Ps_2,122.85276513897645,-89.2680888302189,-284.56105537703934,24.62338813628694,26.59476566106721,-0.8507811208170759,-0.7599745846193182,0.0,134.77999908706923,0.0,0.0,0.0,0.02160877460542163,0.0,0.0
Ps_3,97.99927404793391,-65.92527943694884,-216.44685515184034,17.940225215335435,19.96732976118549,-0.5553682782326239,-0.5593817550494109,0.0,0.0,106.5980909543131,0.0,0.0,0.0,0.01608474424608437,0.0
Ps_4,83.68958218010177,-49.295532774437746,-176.75672417981494,12.979340079092411,16.337814682749773,-0.30285838197661213,-0.4159178185699403,0.0,0.0,0.0,91.37485180585159,0.0,0.0,0.0,0.012888618738074155
