,Omegam,Omegab,h,ns,sigma8,w0,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3293856.055501052,-2442753.546190957,-5761377.047305862,581256.4522350434,437725.6262728996,318461.1533476232,80476.47645447319,894441.0828173838,895341.4948475403,756175.8003622165,678244.8351580903,127.35431428846222,119.69523217514457,95.62125097051953,81.87285744670768
Omegab,-2442753.546190957,5397921.023666833,1715176.034177999,-1128680.674004157,-112766.68378986693,17289.379009017386,7604.031551973516,-325840.85918305325,-259901.84960446268,-139376.44276499428,27250.815831704473,-98.6483159540413,-87.15340763072302,-64.46993003527469,-48.359899404955705
h,-5761377.047305862,1715176.034177999,18277204.501153406,-447896.4719673708,-2075306.5562377328,-888186.3252211865,-175297.7761377064,-2419462.2583030583,-2325378.887163067,-1927167.2495321832,-1770672.5643858737,-315.9081298252448,-282.026243315152,-214.80555444814308,-175.8420070749083
ns,581256.4522350434,-1128680.674004157,-447896.4719673708,332794.42446482857,3477.959948193695,-36202.92753435316,-9144.888072235364,62436.79999464931,42899.44211168162,11594.666397009598,-36408.61386145624,27.751975698563196,24.370824630908604,17.798413427006995,12.931310176694696
sigma8,437725.6262728996,-112766.68378986693,-2075306.5562377328,3477.959948193695,310571.93202185543,93979.99669648445,13888.676345374082,242466.88595971183,230113.0722672037,190238.44498395547,178634.45692331568,29.80651798688516,26.098034347536586,19.619271229478837,16.090558531063774
w0,318461.1533476232,17289.379009017386,-888186.3252211865,-36202.92753435316,93979.99669648445,76807.3064110435,18224.19775560421,144701.53414080726,147756.19118773617,129185.58312661052,127475.0397738042,12.524940256710375,12.48481682211488,10.369223744369846,9.289148742575371
wa,80476.47645447319,7604.031551973516,-175297.7761377064,-9144.888072235364,13888.676345374082,18224.19775560421,4769.638338985955,30293.85633443819,33515.69529932346,31002.596458944925,32079.995156187964,2.3955865772611094,2.640476206181936,2.359430514567425,2.254942322069935
lnbgs8_1,894441.0828173838,-325840.85918305325,-2419462.2583030583,62436.79999464931,242466.88595971183,144701.53414080726,30293.85633443819,1272076.3075550722,0.0,0.0,0.0,143.36552063990823,0.0,0.0,0.0
lnbgs8_2,895341.4948475403,-259901.84960446268,-2325378.887163067,42899.44211168162,230113.0722672037,147756.19118773617,33515.69529932346,0.0,1256972.6777484117,0.0,0.0,0.0,132.83260558938076,0.0,0.0
lnbgs8_3,756175.8003622165,-139376.44276499428,-1927167.2495321832,11594.666397009598,190238.44498395547,129185.58312661052,31002.596458944925,0.0,0.0,1073478.924076404,0.0,0.0,0.0,105.2295884746422,0.0
lnbgs8_4,678244.8351580903,27250.815831704473,-1770672.5643858737,-36408.61386145624,178634.45692331568,127475.0397738042,32079.995156187964,0.0,0.0,0.0,1025191.0356498547,0.0,0.0,0.0,90.44421119917617
Ps_1,127.35431428846222,-98.6483159540413,-315.9081298252448,27.751975698563196,29.80651798688516,12.524940256710375,2.3955865772611094,143.36552063990823,0.0,0.0,0.0,0.02400960392606302,0.0,0.0,0.0
Ps_2,119.69523217514457,-87.15340763072302,-282.026243315152,24.370824630908604,26.098034347536586,12.48481682211488,2.640476206181936,0.0,132.83260558938076,0.0,0.0,0.0,0.020978325507366512,0.0,0.0
Ps_3,95.62125097051953,-64.46993003527469,-214.80555444814308,17.798413427006995,19.619271229478837,10.369223744369846,2.359430514567425,0.0,0.0,105.2295884746422,0.0,0.0,0.0,0.015645647871534045,0.0
Ps_4,81.87285744670768,-48.359899404955705,-175.8420070749083,12.931310176694696,16.090558531063774,9.289148742575371,2.254942322069935,0.0,0.0,0.0,90.44421119917617,0.0,0.0,0.0,0.012575071465029997
