,Omegam,Omegab,h,ns,sigma8,mnu,Neff,w0,wa,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,3341713.0087690637,-2500089.081620556,-5761332.373411427,588337.6140064842,436735.5507524957,-37275.58614129622,-20424.20885639351,322315.91337340395,81761.01233341437,896451.989732347,896749.8697195033,756410.0009273638,676545.8547582813,130.50130823658128,122.40288353484819,97.5513817908771,83.22544815401818
Omegab,-2500089.081620556,5572025.77721303,1701729.1291627926,-1146409.4743221763,-110779.97611643879,87455.77395934069,45951.81927471451,19832.84517404221,8255.524160835917,-326522.21734253364,-258868.2504467779,-136591.454019395,32642.31364042044,-101.60718648928074,-89.60147485157741,-66.1128529220513,-49.385206411657556
h,-5761332.373411427,1701729.1291627926,18132603.64782162,-442935.54623045056,-2068702.0127283474,-24259.827541157574,13019.951561744738,-894204.6286594068,-176917.3994850027,-2406925.8535131267,-2312996.669957006,-1915363.3521273183,-1756539.572328555,-320.2367355519699,-285.6076422341467,-217.15244778868743,-177.20572162406438
ns,588337.6140064842,-1146409.4743221763,-442935.54623045056,334360.36118833843,2659.597827029227,-25644.622759352493,-9930.322715446284,-37614.28900634435,-9493.037549073886,61867.749839176686,41938.915525415156,10442.440529464991,-37757.595319402826,28.354019337355414,24.830874203466465,18.0720306044246,13.06095028925317
sigma8,436735.5507524957,-110779.97611643879,-2068702.0127283474,2659.597827029227,311617.03424753627,9303.873722590115,-862.7166609263288,95041.73993171651,14055.41892657714,242366.72815678694,230012.4757751336,190066.85449557268,178256.47317198297,30.347445141296795,26.539117103244685,19.914672238022728,16.283139772077252
mnu,-37275.58614129622,87455.77395934069,-24259.827541157574,-25644.622759352493,9303.873722590115,2439.9739002275983,725.1878336793941,5686.874058174719,1101.5769025081318,960.7746333359946,2719.8812606789597,4446.931853579691,8174.446132112121,-1.2057371824847662,-0.9805970502830783,-0.6493049789106476,-0.3726971765833942
Neff,-20424.20885639351,45951.81927471451,13019.951561744738,-9930.322715446284,-862.7166609263288,725.1878336793941,412.6926694885334,109.916900358801,57.328378449055876,-2697.9755712605374,-2111.0093810548433,-1071.578259919328,379.31031530883274,-0.8688277189532051,-0.7640131013076296,-0.5617941282697962,-0.4172433337906938
w0,322315.91337340395,19832.84517404221,-894204.6286594068,-37614.28900634435,95041.73993171651,5686.874058174719,109.916900358801,79019.0970878269,18798.896350554653,146196.9724821495,149365.09329044796,130582.12449885384,128769.20189023604,12.851487203599007,12.798344005793647,10.614399470508303,9.487629073917258
wa,81761.01233341437,8255.524160835917,-176917.3994850027,-9493.037549073886,14055.41892657714,1101.5769025081318,57.328378449055876,18798.896350554653,4929.981799087697,30656.43537718329,33942.42949800471,31402.466434652393,32476.54074237683,2.461930724759342,2.7113126652995527,2.4198439841005275,2.3078684439120494
lnbgs8_1,896451.989732347,-326522.21734253364,-2406925.8535131267,61867.749839176686,242366.72815678694,960.7746333359946,-2697.9755712605374,146196.9724821495,30656.43537718329,1267315.005174735,0.0,0.0,0.0,145.455527957322,0.0,0.0,0.0
lnbgs8_2,896749.8697195033,-258868.2504467779,-2312996.669957006,41938.915525415156,230012.4757751336,2719.8812606789597,-2111.0093810548433,149365.09329044796,33942.42949800471,0.0,1251878.4943789528,0.0,0.0,0.0,134.55597531203279,0.0,0.0
lnbgs8_3,756410.0009273638,-136591.454019395,-1915363.3521273183,10442.440529464991,190066.85449557268,4446.931853579691,-1071.578259919328,130582.12449885384,31402.466434652393,0.0,0.0,1068269.977454066,0.0,0.0,0.0,106.3708656865436,0.0
lnbgs8_4,676545.8547582813,32642.31364042044,-1756539.572328555,-37757.595319402826,178256.47317198297,8174.446132112121,379.31031530883274,128769.20189023604,32476.54074237683,0.0,0.0,0.0,1018571.7913267395,0.0,0.0,0.0,91.12884993988057
Ps_1,130.50130823658128,-101.60718648928074,-320.2367355519699,28.354019337355414,30.347445141296795,-1.2057371824847662,-0.8688277189532051,12.851487203599007,2.461930724759342,145.455527957322,0.0,0.0,0.0,0.024922292153209045,0.0,0.0,0.0
Ps_2,122.40288353484819,-89.60147485157741,-285.6076422341467,24.830874203466465,26.539117103244685,-0.9805970502830783,-0.7640131013076296,12.798344005793647,2.7113126652995527,0.0,134.55597531203279,0.0,0.0,0.0,0.02172172881797638,0.0,0.0
Ps_3,97.5513817908771,-66.1128529220513,-217.15244778868743,18.0720306044246,19.914672238022728,-0.6493049789106476,-0.5617941282697962,10.614399470508303,2.4198439841005275,0.0,0.0,106.3708656865436,0.0,0.0,0.0,0.016150125165654165,0.0
Ps_4,83.22544815401818,-49.385206411657556,-177.20572162406438,13.06095028925317,16.283139772077252,-0.3726971765833942,-0.4172433337906938,9.487629073917258,2.3078684439120494,0.0,0.0,0.0,91.12884993988057,0.0,0.0,0.0,0.0129220154941235
