,h,Omegam,Omegab,sigma8,ns,w0,wa,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
h,264409.0261181209,123026.11151707696,-734856.8133287429,-195066.53266316658,180316.70519914725,-65622.48828326979,-9840.610289240225,-20526.2846185339,-6353.985974475292,-120623.50037425489,-114931.92938788567,-101046.43709853935,-114312.41403713722,-8.79272857465967,-6.076046442227444,-3.502339460293917,-2.3085190523955372
Omegam,123026.11151707696,3373545.7027177913,-2507743.142755368,441889.41905892984,588500.34201858,327720.23993576836,83034.3804076224,-37251.46849427774,-20469.28681477999,903798.2589999995,904355.0306915791,762956.296466566,682452.067378827,130.81947241824386,122.83672904864038,97.98992246874265,83.67562927178393
Omegab,-734856.8133287429,-2507743.142755368,5571914.21592374,-110199.94839375665,-1145898.5072751567,18756.20094773879,7963.371574202778,87499.79304748602,45933.15079883809,-326314.6999925696,-258840.14042043366,-136644.89138622925,32671.177667388518,-101.15672866957794,-89.2769948012027,-65.92872289922106,-49.29447887729011
sigma8,-195066.53266316658,441889.41905892984,-110199.94839375665,313562.67608388286,2010.4023426573222,96190.01483860868,14300.182990284506,9376.631506154128,-854.1862348126583,243871.98396028063,231400.5028578117,191178.77927260805,179234.4823469132,30.393372614741075,26.591638703891416,19.965062537246673,16.335146370622507
ns,180316.70519914725,588500.34201858,-1145898.5072751567,2010.4023426573222,333840.4847157381,-37525.03049608519,-9455.698154285583,-25644.505065164783,-9919.17276519613,61135.23860918783,41349.980247756175,10034.978149570758,-38080.35056148544,28.094408467215843,24.629903129210067,17.94450558304042,12.982146588504563
w0,-65622.48828326979,327720.23993576836,18756.20094773879,96190.01483860868,-37525.03049608519,79956.62368944155,19014.80167318116,5697.1609907111015,102.31709081652917,147908.11376513386,150956.3644950032,131825.26105886852,129799.09837691358,13.004645232420092,12.93883180442714,10.721886336761271,9.574485361210524
wa,-9840.610289240225,83034.3804076224,7963.371574202778,14300.182990284506,-9455.698154285583,19014.80167318116,4980.297658244988,1102.5830868489636,55.16643738049166,31023.56329633765,34313.59626848697,31710.338793598603,32744.054454863013,2.495860993179331,2.745170374462618,2.4473264055817503,2.3310973431479853
mnu,-20526.2846185339,-37251.46849427774,87499.79304748602,9376.631506154128,-25644.505065164783,5697.1609907111015,1102.5830868489636,2441.95418964212,725.2892358499496,1007.238929131966,2762.2288268782922,4480.833147484972,8206.783809079174,-1.1942447397469604,-0.9716114672634373,-0.6434393678902428,-0.36871850357002106
Neff,-6353.985974475292,-20469.28681477999,45933.15079883809,-854.1862348126583,-9919.17276519613,102.31709081652917,55.16643738049166,725.2892358499496,412.3157105033408,-2689.9638771483687,-2105.4156038411334,-1068.277049364514,382.01061551211023,-0.8634060219062704,-0.7599266391356968,-0.5593035917531208,-0.41581880788904696
lnbgs8_1,-120623.50037425489,903798.2589999995,-326314.6999925696,243871.98396028063,61135.23860918783,147908.11376513386,31023.56329633765,1007.238929131966,-2689.9638771483687,1274259.9771861918,0.0,0.0,0.0,145.63350036904586,0.0,0.0,0.0
lnbgs8_2,-114931.92938788567,904355.0306915791,-258840.14042043366,231400.5028578117,41349.980247756175,150956.3644950032,34313.59626848697,2762.2288268782922,-2105.4156038411334,0.0,1258403.6439263662,0.0,0.0,0.0,134.77195758112612,0.0,0.0
lnbgs8_3,-101046.43709853935,762956.296466566,-136644.89138622925,191178.77927260805,10034.978149570758,131825.26105886852,31710.338793598603,4480.833147484972,-1068.277049364514,0.0,0.0,1073563.4898984767,0.0,0.0,0.0,106.58787209066035,0.0
lnbgs8_4,-114312.41403713722,682452.067378827,32671.177667388518,179234.4823469132,-38080.35056148544,129799.09837691358,32744.054454863013,8206.783809079174,382.01061551211023,0.0,0.0,0.0,1023223.441167481,0.0,0.0,0.0,91.3621010717174
Ps_1,-8.79272857465967,130.81947241824386,-101.15672866957794,30.393372614741075,28.094408467215843,13.004645232420092,2.495860993179331,-1.1942447397469604,-0.8634060219062704,145.63350036904586,0.0,0.0,0.0,0.024772553537251437,0.0,0.0,0.0
Ps_2,-6.076046442227444,122.83672904864038,-89.2769948012027,26.591638703891416,24.629903129210067,12.93883180442714,2.745170374462618,-0.9716114672634373,-0.7599266391356968,0.0,134.77195758112612,0.0,0.0,0.0,0.021613459147858418,0.0,0.0
Ps_3,-3.502339460293917,97.98992246874265,-65.92872289922106,19.965062537246673,17.94450558304042,10.721886336761271,2.4473264055817503,-0.6434393678902428,-0.5593035917531208,0.0,0.0,106.58787209066035,0.0,0.0,0.0,0.016087756322858235,0.0
Ps_4,-2.3085190523955372,83.67562927178393,-49.29447887729011,16.335146370622507,12.982146588504563,9.574485361210524,2.3310973431479853,-0.36871850357002106,-0.41581880788904696,0.0,0.0,0.0,91.3621010717174,0.0,0.0,0.0,0.012890364272075534
