,h,ns,Neff,Omegam,sigma8,mnu,Omegab,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
h,13577545.75641305,123107.9571229165,-1348.7036038818287,-4015478.8288616976,-1664373.3485153103,45700.12159524978,-60226.951948549366,-1839087.2095867358,-1802433.4677207267,-1534056.8155762865,-1468485.815886952,-173.02895186123425,-159.66731699347918,-127.09698287132261,-111.35360331521866
ns,123107.9571229165,253657.51764088622,-7700.234900046984,312695.73773303744,-41154.923029727855,-25996.06157729288,-898561.1307085714,-19714.624665379073,-32207.26789963588,-45412.98221233098,-79913.05938719407,8.669245920994435,7.595790067997612,5.444856381930018,3.560407230253457
Neff,-1348.7036038818287,-7700.234900046984,347.7746860346673,-13468.929577988809,277.7703608999204,815.4550933146929,38881.24988238909,-619.0690868206075,-271.13658906481396,271.40641894199416,1333.7342858679676,-0.34062702285793417,-0.3096306936212799,-0.23497568459796866,-0.177798069116754
Omegam,-4015478.8288616976,312695.73773303744,-13468.929577988809,2326617.8703354867,328520.19030106807,-52166.23109341609,-1659978.3346605755,620235.8154156449,638110.310415688,555742.3132461502,519045.2511440335,68.52618661398571,66.71543706792704,55.58469686656401,50.544387584770014
sigma8,-1664373.3485153103,-41154.923029727855,277.7703608999204,328520.19030106807,269847.7451498534,-3430.3019480635994,29810.230517211254,201163.72984886437,193859.70196384867,163614.1966878971,158504.29983464722,18.102065277073336,16.363285726101463,12.83037656102233,11.219697393831455
mnu,45700.12159524978,-25996.06157729288,815.4550933146929,-52166.23109341609,-3430.3019480635994,3180.7361632354246,99038.26320318668,-6168.752149957871,-4335.102823818448,-1628.5475903547413,2337.561681235071,-1.5227347231941504,-1.3165519887209567,-0.9606469374850005,-0.7061986728254706
Omegab,-60226.951948549366,-898561.1307085714,38881.24988238909,-1659978.3346605755,29810.230517211254,99038.26320318668,4782719.326927535,-70966.65640871436,-29621.928263181355,34002.79790177141,159687.55318839964,-40.043003074701346,-36.442191748839214,-27.69548062754184,-20.951934162550508
lnbgs8_1,-1839087.2095867358,-19714.624665379073,-619.0690868206075,620235.8154156449,201163.72984886437,-6168.752149957871,-70966.65640871436,1008234.3457418724,0.0,0.0,0.0,85.8655262904024,0.0,0.0,0.0
lnbgs8_2,-1802433.4677207267,-32207.26789963588,-271.13658906481396,638110.310415688,193859.70196384867,-4335.102823818448,-29621.928263181355,0.0,1013659.6594797052,0.0,0.0,0.0,81.83139530925038,0.0,0.0
lnbgs8_3,-1534056.8155762865,-45412.98221233098,271.40641894199416,555742.3132461502,163614.1966878971,-1628.5475903547413,34002.79790177141,0.0,0.0,886212.5584424306,0.0,0.0,0.0,67.34448478855569,0.0
lnbgs8_4,-1468485.815886952,-79913.05938719407,1333.7342858679676,519045.2511440335,158504.29983464722,2337.561681235071,159687.55318839964,0.0,0.0,0.0,877308.2819679296,0.0,0.0,0.0,61.42829988149155
Ps_1,-173.02895186123425,8.669245920994435,-0.34062702285793417,68.52618661398571,18.102065277073336,-1.5227347231941504,-40.043003074701346,85.8655262904024,0.0,0.0,0.0,0.009789973630163698,0.0,0.0,0.0
Ps_2,-159.66731699347918,7.595790067997612,-0.3096306936212799,66.71543706792704,16.363285726101463,-1.3165519887209567,-36.442191748839214,0.0,81.83139530925038,0.0,0.0,0.0,0.00890630653997251,0.0,0.0
Ps_3,-127.09698287132261,5.444856381930018,-0.23497568459796866,55.58469686656401,12.83037656102233,-0.9606469374850005,-27.69548062754184,0.0,0.0,67.34448478855569,0.0,0.0,0.0,0.006996744426936047,0.0
Ps_4,-111.35360331521866,3.560407230253457,-0.177798069116754,50.544387584770014,11.219697393831455,-0.7061986728254706,-20.951934162550508,0.0,0.0,0.0,61.42829988149155,0.0,0.0,0.0,0.006077798879074941
