,Omegam,Omegab,h,ns,sigma8,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2335108.2518740445,-1661451.8703670918,-4024601.5132575696,313040.4424706252,329513.17680821463,-52825.14249031979,-13478.666533117543,621687.0545656714,639550.6871642414,556981.7231645277,520186.74608555285,68.66217550296807,66.84686319755595,55.69374080416696,50.638376969361815
Omegab,-1661451.8703670918,4789306.974683695,-67415.76045610296,-897880.3055099649,29689.431650351944,100953.57052866017,38943.13459352753,-70988.90751229762,-29845.31739909429,33852.02454930649,159504.46046939003,-40.03333422814003,-36.438451109932764,-27.6874977070781,-20.94758493616621
h,-4024601.5132575696,-67415.76045610296,13581316.417525444,123255.65178240882,-1664445.1117479978,44775.77705162353,-1395.8338254481382,-1839124.425861815,-1802489.3002503822,-1534096.8956152867,-1468590.405784286,-173.02464032717302,-159.6632345844806,-127.0906393084297,-111.3427314614455
ns,313040.4424706252,-897880.3055099649,123255.65178240882,253656.7321066247,-41141.72105479846,-26601.824703418613,-7688.030386601944,-19690.172187748554,-32184.04727973332,-45394.54774257468,-79899.8014365109,8.672027635375834,7.598362530213295,5.44691023538155,3.562017832644844
sigma8,329513.17680821463,29689.431650351944,-1664445.1117479978,-41141.72105479846,269848.5275290419,-3210.6867126201532,272.17421226476205,201161.86685869188,193858.28191320473,163613.5882979497,158505.66086560566,18.101930581257317,16.36310843552218,12.830195480616773,11.218938355296102
mnu,-52825.14249031979,100953.57052866017,44775.77705162353,-26601.824703418613,-3210.6867126201532,3283.627002025107,832.1342847328776,-6043.369456495329,-4195.636434387012,-1475.227933231503,2555.6736719400233,-1.5426504158989498,-1.3339885320659546,-0.9734382826983521,-0.7146799338336991
Neff,-13478.666533117543,38943.13459352753,-1395.8338254481382,-7688.030386601944,272.17421226476205,832.1342847328776,348.42047065192367,-621.8556224190743,-274.48279492408756,265.2315911711057,1326.4712630064942,-0.3403538151251502,-0.30927949858861914,-0.23496066821793407,-0.17780606236369093
lnbgs8_1,621687.0545656714,-70988.90751229762,-1839124.425861815,-19690.172187748554,201161.86685869188,-6043.369456495329,-621.8556224190743,1008222.757642449,0.0,0.0,0.0,85.86460137202457,0.0,0.0,0.0
lnbgs8_2,639550.6871642414,-29845.31739909429,-1802489.3002503822,-32184.04727973332,193858.28191320473,-4195.636434387012,-274.48279492408756,0.0,1013649.3306282846,0.0,0.0,0.0,81.83030813746102,0.0,0.0
lnbgs8_3,556981.7231645277,33852.02454930649,-1534096.8956152867,-45394.54774257468,163613.5882979497,-1475.227933231503,265.2315911711057,0.0,0.0,886206.7887556071,0.0,0.0,0.0,67.3433938888672,0.0
lnbgs8_4,520186.74608555285,159504.46046939003,-1468590.405784286,-79899.8014365109,158505.66086560566,2555.6736719400233,1326.4712630064942,0.0,0.0,0.0,877312.6765326295,0.0,0.0,0.0,61.42359174082175
Ps_1,68.66217550296807,-40.03333422814003,-173.02464032717302,8.672027635375834,18.101930581257317,-1.5426504158989498,-0.3403538151251502,85.86460137202457,0.0,0.0,0.0,0.009790346660056359,0.0,0.0,0.0
Ps_2,66.84686319755595,-36.438451109932764,-159.6632345844806,7.598362530213295,16.36310843552218,-1.3339885320659546,-0.30927949858861914,0.0,81.83030813746102,0.0,0.0,0.0,0.008906603528293656,0.0,0.0
Ps_3,55.69374080416696,-27.6874977070781,-127.0906393084297,5.44691023538155,12.830195480616773,-0.9734382826983521,-0.23496066821793407,0.0,0.0,67.3433938888672,0.0,0.0,0.0,0.006996928171763999,0.0
Ps_4,50.638376969361815,-20.94758493616621,-111.3427314614455,3.562017832644844,11.218938355296102,-0.7146799338336991,-0.17780606236369093,0.0,0.0,0.0,61.42359174082175,0.0,0.0,0.0,0.0060772049763378215
