,Omegam,Omegab,h,ns,sigma8,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2346488.234592137,-1669209.4577216841,-4048703.451817523,315028.6927881725,329828.16500654654,-21902.976141972784,-13144.621554483154,624549.5589064306,643146.5784914973,560782.713370257,524810.6782528792,68.41839734309457,66.67433250564137,55.61744572417275,50.66946343998424
Omegab,-1669209.4577216841,4797239.143999148,-50169.56292086869,-901834.6038156799,28392.187838161488,74005.70651461263,39846.421584769334,-72801.21300634701,-31516.722602634225,32467.143070934806,158898.81810786962,-40.00105745119826,-36.43689003255845,-27.733960256660954,-21.030689111936606
h,-4048703.451817523,-50169.56292086869,13719759.152464645,120395.368272215,-1679454.20012587,-49435.91050695596,-3541.0723337453946,-1853334.5726835914,-1817497.4767875876,-1548171.3041387438,-1484143.5800482691,-173.08213983029802,-159.82761009783815,-127.34688757560643,-111.75151874762537
ns,315028.6927881725,-901834.6038156799,120395.368272215,254848.78817906333,-40973.77338279024,-21250.759757414497,-8003.007944558556,-19382.97533124838,-31918.459467402456,-45256.36292940566,-80053.21996423963,8.677711512433222,7.612194451867564,5.466459666908417,3.588026916097903
sigma8,329828.16500654654,28392.187838161488,-1679454.20012587,-40973.77338279024,271725.8390127159,10959.799718168375,567.6763339595257,202419.84232994908,195185.31179137956,164864.82225368058,159938.1442093391,18.086623452406005,16.360395964568703,12.84001406690501,11.245431406879783
mnu,-21902.976141972784,74005.70651461263,-49435.91050695596,-21250.759757414497,10959.799718168375,2163.367434367144,633.3291298989402,5247.437300760068,6499.697792376557,7203.2873031583895,10140.235362118909,-0.23780196738772022,-0.15515364607555168,-0.0570477148279126,0.061858134739866316
Neff,-13144.621554483154,39846.421584769334,-3541.0723337453946,-8003.007944558556,567.6763339595257,633.3291298989402,363.7985047406226,-327.71753962344883,46.64742450156382,572.8828811082396,1679.7698716571726,-0.3213169581159544,-0.2898390488838631,-0.2178145875085582,-0.1605654632250638
lnbgs8_1,624549.5589064306,-72801.21300634701,-1853334.5726835914,-19382.97533124838,202419.84232994908,5247.437300760068,-327.71753962344883,1015085.6717465136,0.0,0.0,0.0,85.81117577540067,0.0,0.0,0.0
lnbgs8_2,643146.5784914973,-31516.722602634225,-1817497.4767875876,-31918.459467402456,195185.31179137956,6499.697792376557,46.64742450156382,0.0,1021157.528620097,0.0,0.0,0.0,81.83559271233499,0.0,0.0
lnbgs8_3,560782.713370257,32467.143070934806,-1548171.3041387438,-45256.36292940566,164864.82225368058,7203.2873031583895,572.8828811082396,0.0,0.0,893532.9288206446,0.0,0.0,0.0,67.41413461664452,0.0
lnbgs8_4,524810.6782528792,158898.81810786962,-1484143.5800482691,-80053.21996423963,159938.1442093391,10140.235362118909,1679.7698716571726,0.0,0.0,0.0,885839.9281252711,0.0,0.0,0.0,61.58954604350777
Ps_1,68.41839734309457,-40.00105745119826,-173.08213983029802,8.677711512433222,18.086623452406005,-0.23780196738772022,-0.3213169581159544,85.81117577540067,0.0,0.0,0.0,0.00970501283257604,0.0,0.0,0.0
Ps_2,66.67433250564137,-36.43689003255845,-159.82761009783815,7.612194451867564,16.360395964568703,-0.15515364607555168,-0.2898390488838631,0.0,81.83559271233499,0.0,0.0,0.0,0.008835370891330534,0.0,0.0
Ps_3,55.61744572417275,-27.733960256660954,-127.34688757560643,5.466459666908417,12.84001406690501,-0.0570477148279126,-0.2178145875085582,0.0,0.0,67.41413461664452,0.0,0.0,0.0,0.0069481588137806395,0.0
Ps_4,50.66946343998424,-21.030689111936606,-111.75151874762537,3.588026916097903,11.245431406879783,0.061858134739866316,-0.1605654632250638,0.0,0.0,0.0,61.58954604350777,0.0,0.0,0.0,0.006045225995454201
