,Omegam,Omegab,h,ns,sigma8,mnu,Neff,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2346486.213841444,-1669179.8028317785,-4048701.3866226412,315027.4135951006,329828.0966112911,-21904.4826113584,-12972.923486098234,624548.9295583054,643146.2098471852,560782.6252974571,524810.8835010051,68.4182777892489,66.67424728606048,55.61739585909091,50.66943727555248
Omegab,-1669179.8028317785,4797144.589710896,-50236.579820539104,-901843.359597394,28403.078231262545,74006.25045400688,39022.53387162673,-72792.13421072377,-31506.08077754575,32478.872905606666,158911.52018103248,-40.001082048189424,-36.43674281464063,-27.733616828671437,-21.030228496923723
h,-4048701.3866226412,-50236.579820539104,13719777.146766376,120395.42900157567,-1679455.429233599,-49433.45357150396,-2603.8726725145398,-1853335.896790757,-1817498.9159663853,-1548172.547264425,-1484144.8256606054,-173.08224948311647,-159.82772825461987,-127.34698817075727,-111.75161643821878
ns,315027.4135951006,-901843.359597394,120395.42900157567,254848.79003782626,-40973.77576618114,-21251.542945742753,-7752.916395791437,-19382.978974192127,-31918.46283097085,-45256.365567758294,-80053.22145024381,8.677710860204897,7.612193848337802,5.4664591813494585,3.5880265142101693
sigma8,329828.0966112911,28403.078231262545,-1679455.429233599,-40973.77576618114,271725.8401485328,10959.879920651769,379.041327618482,202419.8436211967,195185.31286515377,164864.82284014995,159938.14379261635,18.08662353305699,16.360396066902936,12.840014174503164,11.245431517855824
mnu,-21904.4826113584,74006.25045400688,-49433.45357150396,-21251.542945742753,10959.879920651769,2163.4665955744285,606.4489510222052,5247.171668119195,6499.413617861483,7203.093303385129,10140.177320131339,-0.23788257279093683,-0.15523319737955243,-0.05711342891123794,0.06180612231870658
Neff,-12972.923486098234,39022.53387162673,-2603.8726725145398,-7752.916395791437,379.041327618482,606.4489510222052,350.11018568755503,-430.78652629802855,-70.85042734618901,452.6108697708137,1525.1360796852377,-0.3222697949748774,-0.29146178230449304,-0.2198947648522112,-0.16376128367777615
lnbgs8_1,624548.9295583054,-72792.13421072377,-1853335.896790757,-19382.978974192127,202419.8436211967,5247.171668119195,-430.78652629802855,1015085.676906667,0.0,0.0,0.0,85.81117616569385,0.0,0.0,0.0
lnbgs8_2,643146.2098471852,-31506.08077754575,-1817498.9159663853,-31918.46283097085,195185.31286515377,6499.413617861483,-70.85042734618901,0.0,1021157.5330119522,0.0,0.0,0.0,81.83559320976752,0.0,0.0
lnbgs8_3,560782.6252974571,32478.872905606666,-1548172.547264425,-45256.365567758294,164864.82284014995,7203.093303385129,452.6108697708137,0.0,0.0,893532.9309855317,0.0,0.0,0.0,67.41413514695736,0.0
lnbgs8_4,524810.8835010051,158911.52018103248,-1484144.8256606054,-80053.22145024381,159938.14379261635,10140.177320131339,1525.1360796852377,0.0,0.0,0.0,885839.9250208575,0.0,0.0,0.0,61.58954659822676
Ps_1,68.4182777892489,-40.001082048189424,-173.08224948311647,8.677710860204897,18.08662353305699,-0.23788257279093683,-0.3222697949748774,85.81117616569385,0.0,0.0,0.0,0.009705012656356293,0.0,0.0,0.0
Ps_2,66.67424728606048,-36.43674281464063,-159.82772825461987,7.612193848337802,16.360396066902936,-0.15523319737955243,-0.29146178230449304,0.0,81.83559320976752,0.0,0.0,0.0,0.008835370748031144,0.0,0.0
Ps_3,55.61739585909091,-27.733616828671437,-127.34698817075727,5.4664591813494585,12.840014174503164,-0.05711342891123794,-0.2198947648522112,0.0,0.0,67.41413514695736,0.0,0.0,0.0,0.0069481587222885565,0.0
Ps_4,50.66943727555248,-21.030228496923723,-111.75161643821878,3.5880265142101693,11.245431517855824,0.06180612231870658,-0.16376128367777615,0.0,0.0,0.0,61.58954659822676,0.0,0.0,0.0,0.006045225950738458
